레시피 제목,요리명,요리재료,레시피내용
든든한 바베큐립,바베큐립, 립용 양파 청양고추 월계수잎 통후추 정 청주 데리야끼소 진간장 황설탕 우스터소스 물엿 청주 마늘가루 생강가루,0
그릇채 먹는 스팸볶음밥그라탕,스팸볶음밥그라탕, 찬밥 스팸베이컨 청 노랑 빨강 애느타리버섯 또띠아 모차렐라치즈 굴소스 핫소스 소금 파슬리가루,0
어니언 머쉬룸 스테이크,어니언스테이크, 스테이크용 양파 양송이버섯 머쉬룸 밥 양송이버섯 양파 당근 소금 소고기 로즈마리 소금 후춧가루 다진마늘 타바스코소스 우스터소스 꿀 레몬즙 물,"['먼저 쇠고기를 준비하는데용. 한우등심이나 안심으로 쓰시면 좋겠죠. 먼저 쇠고기에 소금약간과 후춧가루를 뿌려 밑간을 해주세요. 그리구 향이 베이도록 로즈마리도 약간 올려주세요. 로즈마리 없으시면 패스.', '그리구 양파는 두툼하게 원모양으로 썰고 양송이도 썰어줘요. 레몬은 스테이크소스에 넣을거에요. 장식으로 쓰셔도 좋구요.', '그리구 그릴에 간이 벤 쇠고기를 앞뒤로 구워주고 버섯과 양파도 구워주세요. 쇠고기의 굽는정도는레어 -> 미디움 레어 -> 미디움 -> 미디움 웰 -> 웰던순이 있는데요. 레어가 제일 안익은정도구요. 웰던이 거의 다 익힌정도에요. 저는 미디움 웰정도로 익혀주었어요.', '그리고 후라이팬에 기름약간 두르고 다진마늘을 볶다가 타바스코소스 1큰술, 우스터소스 2큰술, 꿀 1큰술, 물 1/2컵을 섞은걸 부어 끓이다 레몬즙 1/2큰술을 넣고 걸쭉하게 쫄여주세요. 녹말물을 약간 넣어주시면 더 빠르게 소스를 만들수 있어요. 타바스코소스는 일명 핫소스인데 칠리핫소스를 쓰셔도 좋아요. 우스터소스는 없으시면 간장으로 넣어주셔도 된답니다.', '머쉬룸 볶음밤을 만들건데용. 양송이와 양파, 당근은 총총 썰어주세요. 그리고 마늘은 다져주시구 공기밥 1/3공기를 준비해주세요. 스테이크와 같이 곁들일 볶음밥 대신 감자를 길쭉하게 썰어서 튀기거나 구워주셔도 되구요. 감자를 으깨 샐러드로 만들어서 같이 곁들여도 맛있어요.', '후라이팬에 기름약간 두르고 다진마늘을 볶다가 당근, 버섯, 양파를넣고 볶아주세요. 모자란 간은 소금으로 해주세요.', '접시에 담아내면 완성이에용. 먼저 구운양파를 밑에 깔아주시구용. 그위에 쇠고기를 올려주시고 맨위에 구운 양송이를 듬뿍 올려주신 후 스테이크소스를 얹어주시면 된답니다. 머쉬룸 복음밥도 같이 놔주시구용. 레몬과 로즈마리는 장식. 쇠고기가 질기지도 않구 어쩜 이렇게 부드럽고 맛있던지. 집에서 간단하게 스테이크 만드셔서 연인과 분위기 잡아보는건 어떨가용?']"
미니 스카치에그,미니스카치에그, 삶은 스팸 양파 당근 전분가루 메추리알 밀가 달걀 빵가 우유 소금 후춧가루,0
엄마표 닭가슴살 스테이크,닭가슴살스테이크, 닭가슴살 청피망 빨강파프리카 노랑파프리카 옥수수캔 마늘 부침가루 계란 빵가루 파프리카치즈구이 파프리 옥수 치 소 버터 청주 소금 후춧가루 버터 채썬 케찹 우스터소스 육수,0
달걀 감자 베이컨 파프리카 그라탕,그라탕, 감자 양파 베이컨(햄) 계란 파프리카 피자치즈 감자 물 소금 치킨스톡 체다치즈 파슬리가루 버터 밀가루 우유 소금 치킨스톡 후추,0
새우 오믈렛,새우오믈렛, 냉동새 계란 양파 식용유 술 계란흰자 전분 참기 소 후추 고형치킨스톡 소금 후추 마늘다진것 마요네즈,0
찬밥과 냉장고속 짜투리 야채들의 화려한 외출 라이스그라탕,라이스그라탕, 밥 당 양 피 소세지 피자치즈 옥수수캔 소금 핫소스,0
감자 소세지 오물렛,감자소세지오믈렛, 감자 비엔나소세지 양파 계란 식용유 파마산치 피망 달걀 소금 후추 파마산치즈 체다치즈,0
고구마 그라탕,고구마그라탕, 고구마 피자치즈 슬라이스치즈 파슬리가루 돼지고기 양파 마늘 간장 술 설탕 후추 버터 밀가루 우유 소금 후추,"['슬라이스 한 양파를 팽이버섯하고 같이 후라이팬에 식용유 살짝 둘러 볶습니다.', '고구마를 전자렌지에 10분가량 돌려 반쯤 익혀줍니다. 껍질을 쉽게 벗겨내고 조리시간을 단축하기 위한 과정입니다.전자레인지', '껍질을 벗겨 적당히 잘라 오븐용 팬에 골고루 깔아줍니다. 저는 9x13inch glass pan 을 사용했어요.', '볶아두었던 양파와 팽이버섯을 그 위에 고루 덮습니다.', '고구마가 반정도 잠기도록 우유를 부어줍니다.', '양파와 팽이버섯이 보일듯말듯 할 정도로 치즈를 뿌려주세요. 저는 shredded cheese를 집에 항상 사두는 편인데 그냥 슬라이스 치즈를 쓰시거나 덩어리치즈를 직접 잘라 얹으셔도 무방하구요, 체다, 콜비잭, 아시아고, 파마잔 치즈 등이 무난한데 몇가지가 섞인 멕시칸이나 이탈리안 믹스치즈도 다 좋아요.', '치즈 위에 베이컨을 펼쳐서 덮어준 뒤 화씨로400도 (섭씨200도)로 예열된 오븐에 넣고 30-35분가량 익힙니다.오븐', '베이컨이 익은 정도를 확인하고 다 익었으면 모짜렐라 치즈를 한 층 더 뿌려 10-15분가량 치즈를 맛있는 갈색이 되도록 구워줍니다.']"
프리타타,프리타타, 스위트콘옥수수 베이컨 파프리카 양파 양송이버섯 체다치즈 피자치즈 빵가루 계란 생크림,"['재료를 준비해주세요.', '팬에 기름을 두르고 감자를 볶아주세요.', '베이컨, 소시지, 양파를 넣고 볶아주세요.', '재료가 다 익으면 식혀주세요.', '그릇에 우유와 계란을 넣고 소금, 후추 간을 하고 섞어주세요.', '식힌 재료와 옥수수콘을 넣고 섞어주세요.', '팬에 기름을 두르고 섞은 재료를 넣고 부쳐주세요.', '반쯤 익으면 치즈를 넣고 뚜껑을 덮어주세요.', '뚜껑을 덮고 3분정도 익혀주세요.', '접시에 담아 파슬리를 뿌려 완성~!!']"
:: 단호박샐러드 그라탕 ::,단호박샐러드그라탕, 식빵 단호박맛 모짜렐라치즈 파슬리가루,"['식빵은 작은 정사각형으로 조각조각 내주세요. 큰 그라탕 용기에 넣어 이용할때는 그냥 통찌로 사용하거나, 두세조각만 내주어도 좋아요. 그냥 먹기보단 기름안두른 팬에 살짝 토스트하여 준비.', '오븐이나 렌지 사용한 가능한 그릇에 샐러드를 얇게 바르고 토스트한 식빵을 가득 올려주세요.', '이렇게 두번반복. 샐러드-식빵-샐러드-식빵-샐러드', '마지막에도 샐러드를 듬뿍 올리고. 볼이 깊은지라 위에는 조금 부족하지만 안에는 샐러드와 식빵을 가득해요.', '치즈를 올리고, 파슬리가루를 약간 뿌린후 렌지에서 치즈가 녹을정도로 돌리주거나, 오븐에서 치즈가 노릿하게 익도로 구워주세요, 전 이거 하나 굽자고 큰 오븐 돌리기가 그래서 그냥 전자레인지로 치즈를 녹여주지요. 깊은 원형볼에 가득한 샐러드와 쫄깃한 식빵, 식빵은 구워지면서 엄청 쫄깃해졌어요.. 떡속에 단호박 앙금같기도 했답니다.오븐,전자레인지']"
두부와 콩이 듬뿍 두부 라자냐,두부라자냐, 라자냐 피자치즈 두부 올리브유 소금 완두콩 파마산치즈 파슬리가 허브솔트 버터 밀가루 우유 치킨스톡 후추 홀스 다진고기 양파 마늘 케찹 허브솔트 꿀 후 올리브유 생바질,"['제일먼저 베사멜 소스(화이트소스)를 만들어 줍니다. 팬에 버터와 밀가루를 충분히 볶다가 우유를 넣고 밀가루 멍울을 풀어주며 끓여주세요. 소스를 주걱에 묻혀 손가락으로 그어보면 사진처럼 흐르지않고 묻어 있을때가 적당한 농도 입니다.', '달군팬에 올리브유를 넣고 다진 양파와 마늘을 먼저넣고 볶다가 다진고기(돼지고기)를 넣고 허브솔트를 넣고 볶아 주고 홀스토마토 캔을 넣은후 주걱이나 수저로 토마토를 잘라주며 뭉개 줍니다. 토마토케찹, 꿀이나 올리고당 생바질을 넣고 저어주며 졸여주고 입맛에 맞세 소금 후추로 간을해 주세요. 베사멜 소스는 시판 크림스프로 토마토 소스는 스파게티 소스로 편하게 만드셔도 된답니다.', '끓는물에 올리브유 2큰술과 소금 1작은술을 넣고 라자냐 파스타를 넣어 10분간 삶아 주고 라자냐를 건져서 달라 붙지않게 펼쳐 준비해 둡니다', '그릇에 면보에 꼭짜서 물기를 빼준 두부와 완두콩 소금물에 데쳐서 건져서 넣고 허브솔트, 파마잔 치즈가루, 피자치즈(50g), 소금을 넣어 조물락 거리며 치대어 섞어 줍니다. 저는 완두콩, 야채, 옥수수를 데쳐서 밀폐용기에 넣어 냉동실에 넣어 두었다 요리할때 마다 꺼내쓰고 있어요. 이렇게 하면 요리하기가 훨씬 수월하고 간편 하답니다.', '오븐에 들어가도 안전한 내열용기에 만들어둔 베사멜소스를 넣고 피자치즈를 50g쯤 뿌려주고 만들어둔 두부를 깔아주고 피자치즈 뿌려주고(50g) 라자냐를 두장 덮어 줍니다. 토마토소스를 뿌리고 치즈 (50g)뿌려주고 라자냐 덮어주고', '다시 토마토소스-베사멜소스-피자치즈를 (100g)을 토핑하고 파마잔치즈 파슬리가루를 뿌린 후 200도 오븐에서 25분간 노릇하게 구워 줍니다. 덜어 드시고 남은건 냉장고에 보관 했다가 전자레인지나 오븐에 넣어 데워 드세요.오븐,전자레인지', '라자냐 파스타 사이사이 치즈와 소스 두부와 콩이 보여서 예쁘군요. 성장기 아이들 아이들 간식으로 만들어 주시면 좋을것 같아요.']"
고구마 라이스 그라탕,고구마라이스그라탕, 고구마 브로콜리 밥 양파 토마토 당근 피자치즈 빵가루 버터 토마토케첩 후춧가루 소금,"['브로콜리는 데쳐두고, 고구마는 전자렌지에서 6분정도 돌려 익혔어요.전자레인지', '팬에 버터를 두르고 양파, 당근, 브로콜리의 일부를 잘게 썰어서 볶았어요.', '야채가 부드럽게 익으면 밥을 넣고 소금과 후춧가루로 간을 하고 토마토케첩 3스픈을 넣고 잘 섞어줍니다.', '고구마는 으깨서 물 1/2컵을 넣고 잘 섞어주면 부드러워져요. 우유를 넣으면 더 고소하겠죠? 고구마가 달콤하라고 설탕을 0.3스푼을 넣어주었어요.', '그라탕그릇에 올리브오일로 바닥과 옆면을 잘 발라준 다음 볶은 밥을 담고 고구마를 얹어주었어요. 원래 그라탕에는 화이트소스가 들어가는데 저는 고구마 으깬 것으로 대신했어요.', '그 위에 토마토를 편으로 썰어서 얹고 데쳐둔 브로콜리를 사이사이 끼웠어요. 토마토는 익혀먹을수록 영양가가 더 많이 우러나와서 좋아요. 올리브유와 함께 조리를 하면 더 좋다죠?', '그리고 피자치즈를 얹고 빵가루도 솔솔 뿌려줍니다.', '컨벡스오븐에서 뚜껑을 닫지 않고 210도에서로 15~20분간 익혀주었어요.오븐', '피자치즈도 잘 녹고 노릇하게 잘 익었네요. 고구마가 들어가서 달콤하니 맛있더라구요. 금방하면 따끈해서 뭐든 다 맛있죠. 뭐']"
바삭하고 상큼한 토마토 브루스케타,토마토브루스케타, 바게트 토마토 양파 생모짜렐라치즈 올리브유 마늘 올리브유 소금 후춧가루,0
쫄깃한 흑돼지바베큐립 ,바베큐립, 흑돼지 고기 정 통후 월계수 청 허 계피가루1TS 시판 진간장 케찹 우스터소스 황설탕 핫소스 A1소스 청주 마늘가루,"['흑돼지등갈비는 찬물에 담궈 핏물을 제거해주세요. 정향+통후추+월계수잎+청주 등 허브를 넣고 끓인물에 흑돼지등갈비를 삶아주세요. 저는 죠 물에다 계피가루1TS를 넣어주었더니 물의 색이 쬐금 이상하네요. 계피향이 부엌에 솔솔 퍼지는게 좋았는데 색은 영 아니네요. 삶은 흑돼지등갈비는 찬물에 헹궈 여분의 불순물을 제거한뒤 물기를 빼주세요. (살집이 있는 부분에 칼집을 조금 내주셔도 좋아요.)', '분량의 재료대로 바베큐립소스를 냄비에 넣고 뽀글뽀글 끓여주세요.', '죠렇게 칼집은 내주면 바베큐소스가 잘 베어들어 더 맛있답니다.', '골고루 바베큐소스를 발라 밀폐용기에 담아 냉장고속으로 쌩. 바로 구워먹어도되지만 저는 늘 하루정도 냉장고에 두었다가 구워먹는답니다.', '오븐팬에 호일을 깔고 그 위에다 키친타올을 깔아주세요. 물을 키친타올에 살짝이 뿌려주시구요. 이젠 석쇠를 올리고 양념이 잘 벤 흑돼비등갈비를 올려주세요(---> 요렇게해서 구우면 나중에 호일만 살살 걷으면 오븐팬은 깨끗하답니다.) 230도로 예열된 오븐에서 30분정도 구워주세요. 중간에 한번 뒤집어주시구요.오븐', '잘 익은 바베큐립 완성입니다.']"
한끼식사로도 든든한 프리타타,프리타타, 유정란 생크림 냉동야채 양파 방울토마토 베이컨 새송이파지 슬라이스치즈 모짜렐라치즈 빵가루 파마산치즈가루 소금 후춧가루 오일,"['냉동야채는 끓는물에 살짝 데쳐 물기를 제거했어요.(냉동야채가 없으시다면 집에 있는 다른 야채들을 이용하시면 되요) 양파는 먹기좋게 썰어주세요. 베이컨도 썰어주시고, 방울토마토는 반으로 잘라주세요. 슬라이스치즈는 반을 접어 채썰어주세요. 새송이파지는 깨끗이 씻어 썰어주세요.', '오일을 두른지않은 팬에 베이컨을 구워 키친타올에다 놓고 기름기를 빼주세요. 달구어진 팬에 오일을 조금 두른뒤 양파를 볶고 나머지 야채들을 넣고 볶아주세요.', '오븐용기에 오일을 조금 칠해준뒤 볶아둔 베이컨+야채들+슬라이스치즈를 넣어주세요.', '계란 3개를 풀어준뒤 생크림을 넣고 모짜렐라치즈+빵가루를 넣고 잘 섞어주세요. 그런다음, 소금+후춧가루로 간을 한뒤 준비된 재료들이 담긴 오븐용기에다 부어주세요. 제가 먹을것에는 죠렇게 방울토마토도 올려주었어요.', '170도로 예열된 오븐에서 25-30분정도 구워주세요.(한 5분정도 남았을때 파마산치즈가루도 솔솔 뿌려주었어요) 식빵을 먹는 수요일아침에도늦잠을 자버린 바쁜 아침에도, 요 프리타타로 든든하게 한끼 해결한답니다.오븐']"
비프 스트로가노프,비프스트로가노프, 소고기 양파 버섯 피망 당근 밀가루 식용유 파슬리가루 소 후추 토마토 화이트와인 물 우스터소스 소 후 설탕 치킨스톡 월계수잎 생크림 레몬즙,"['고기는 허브솔트 (or 소금과 후추)로 밑간하고 한입 크기로 잘라 밀가루를 입힙니다.', '양송이 버섯은 모양을 살려 약간 굵직하게 편으로 썰어요. 양파는 볶음밥 하실 때처럼 작은 깍두기 모양으로 만들구요.(채썰어주셔도됩니다) 마늘도 편썰어 준비해주세요. 물에 양파, 마늘 등을 스톡과 함께 끓인 후 걸러서 사용하면 좋긴하지만.', '육수는 요렇게 큐브형으로 생긴 것. 물에 양파, 마늘 등을 스톡과 함께 끓인 후 걸러서 사용하면 좋긴하지만, 물+스톡1개로 간단하게 만들었습니다. 캔에 든 치킨브로스, 비프브로스 가지고 계시면 그걸로 사용 하셔도 되구요.', '달궈진 팬에 버터와 밀가루를 1:1로 넣고 덩어리 없도록 계속 섞어주세요. 갈색으로 변하면 케첩(토마토 페이이스트)을 넣어 볶아서 신맛을 날려 줍니다. (갈색이 날 때까지 볶다보면, 처음 하시면 태울 수도 있어요. 불이 너무 세면 냄비를 잠시 들어 열을 식히고 다시 불 위에 올려도 돼요) 육수(치킨스톡)를 넣어 저어가며 뭉근하게 풀어 주세요. 월계수잎과 우스터 소스를 넣고 끓이다가 소금과 후추로 간을 맞춰주세요.', '달궈진 팬에 올리브오일 (버터)를 넣고 마늘을 볶다가 양파도 볶아요. (양파가 연갈색이 돌 정도로 볶아야 하는데 저는 살짝 덜 볶았어요.) 볶아진 양파와 마늘 잠시 그릇에 덜어 놓고. 그 냄비에 고기를 넣어 앞뒤로 뒤집어가며 익힌 후 (기름 부족하면 버터 조금 더 넣고) 덜어놓은 마늘+양파와 양송이 버섯을 한데 섞어 다시 한번 볶아 주세요.', '위의 재료들을 섞어 생크림 3스푼을 넣어 한번 더 끓여서 마무리 합니다.']"
패밀리레스토랑의 페스츄리 스테이크 ,페스츄리스테이크, 스테이크용고기 양송이버섯 양파 브로콜 식용유 버터 찬 박력분 계란 소금 설탕 소 후 허브솔트 우스터소스 발사믹식초 꿀 버터(or스테이크소스),"['박력분에 소금 설탕을 넣고 체친후 찬버터를 넣고 스크레퍼로 잘라주며 섞는다. 가운데 홈을파고 계란을 풀어 조금씩 넣고 치대어 반죽을 만든다. 반죽을 비닐백에 넣고 냉장고에 30분 이상 휴지시킨다. 반죽을 비닐팩에 넣은체 밀대로 밀어 적당한 크기로 자른다. 파이반죽은 푸드프로쎄서에 재료를 넣고 돌려서 만들어도 됩니다.', '스테이크 고기에 소금 후추나 허브솔트를 뿌려두고 양파와 버서을 썰어 둡니다. 아스파라거스나 여러가지 야채를 넣으면 좋을것 같다는 생각이 들더군요. 저는 양송이 대신 저렴한 새송이를 사용했어요.', '프라이팬을 가열하고 식용유와 버터를 넣고 센불에서 고기를 올려놓고 고기표면만 노릇하게 앞뒤로 구워주세요. 오븐에 한번더 구울거라 고기속은 익지않게 구워 주셔야합니다.', '고기를 접시에 담아 두고 스테이크를 구운 팬에 야채를 볶아 주세요.', '소스재료를 야채에 넣고 볶아 줍니다. 소스재료가 없다면 시판 스테이크소스를 넣고 볶아 주세요.', '구워둔 스테이크에 앞뒤로 소스를 발라 주고', '비닐팩 위에 밀어둔 파이지를 올려 놓고 작업하면 편하답니다. 파이지 위에 야채를 올려놓고 스테이크를 올려 줍니다.', '사진처럼 파이지를 들어 올려서 반죽을 모아준 후', '반죽에 물을 살짝 발라서 터지지않게 반죽을 꼭 눌러 붙여주고 모양을 만든후', '오븐팬에 올려 표면에 우유를 바르고 예열한 220도 오븐에 넣고 20분간 구워 주었어요.', '사이드메뉴로는 데쳐서 냉동실에 얼려둔 브로콜리를 끓는물에 잠깐만 데쳐 물기를 짜주고 팬에 버터와 소금 후추를 넣고 살짝 볶아 주었어요.', '접시에 담아놓고 보니 레스토랑 못지않게 근사합니다.', '바삭한 파이와 야채소스가 듬뿍 발라진 스테이크를 같이 먹는 이맛. 주말에 만들어서 가족들과 함께 드셔 보세요.']"
초간단 치킨 스테이크,치킨스테이크, 닭가슴살 양파 청피망 홍피망 파프리카 사브로소 기꼬망 후추가루 기꼬망 후춧가 파슬리가루,"['닭가슴살은 반으로 잘라 4쪽을 만든후 마리네이드소스를 골고루 묻혀 주고 20분동안 재워 둡니다.', '닭가슴살이 마리네이드소스에 잘 재워지면 후춧가루와 파슬리 가루를 뿌려 줍니다.', '야채는 먹기 좋은 크기로 자르고 재워둔 닭가슴살을 달군팬에 포도씨유 한큰술을 두르고 올려 앞뒤로 노릇노릇하게 구워 줍니다. (이때 닭가슴살을 재우고 남은 소스를 뿌려가며 구우면 더 맛있어요.)', '닭가슴살이 구워질 동안 다른팬에 포도씨유 한큰술을 두르고 야채를 볶다가 마리네이드소스 한큰술을 넣어 간을 맞추고 후춧가루를 뿌려 줍니다.', '구워진 닭가슴살과 마리네이드소스에 볶은 채소를', '먹기 좋게 접시에 담아내면 완성. 볶은채소를 곁들인 담백한 닭가슴살 스테이크 완성입니다. 오랜만에 그릴자국 좀 내봤는데 요 그릴자국이 더 맛있어 보이게 만드는것 같아요. 볶은 채소와 밥과 함께 곁들이니 든든하면서 훌륭한 한끼 식사가 되네요. 다이어트 중일때 소고기나 돼지고기 대신 담백하고 단백질 풍부한 닭가슴살로 스테이크를 만들어 먹으면 든든하고 참 좋을것 같아요.']"
감자샐러드를 넣어 든든하게 치킨그라탕!,치킨그라탕, 닭가슴살 감자中 달걀 양파 피망 피자치즈 우유 마요네즈 소금 후춧가루 케첩 굴소스 핫소스 다진마늘 맛술 소금 후춧가루,"['먼저 감자는 껍질째 깨끗이 씻고.. 달걀, 소금(약간)과 함께 냄비에 넣어 20~25분간 삶아줍니다.', '닭가슴살은 우유(1/2컵)에 10~20분정도 담가 잡내를 없애줍니다.', '닭가슴살은 키친타올로 물기를 제거한 후 한입크기로 먹기좋게 잘라 치킨양념에 재워둡니다.', '양파, 피망은 얇게 채썰어 준비합니다.', '삶은달걀은 찬물에 담가 껍질을 벗겨 먹기좋게 썰어 준비해주세요. 노른자가 깨져도 상관 없으니 대충 썰어주세요.', '삶은감자도 뜨거울때 껍질을 벗겨 내열용기인 그릇에 넣고 감자를 으깹니다. 도구가 없으면 포크로 으깨주세요. 오븐에 구울꺼기에 내열용기로 준비하세요. 뭐 요즘 강화유리도 있다곤 하지만. 저번에 뉴스도 보고 하면 강화유리 못미더운거 같아요. 보니까 막 터지고 깨지고 그런다고.', '으깬감자에 마요네즈(1), 소금, 후춧가루로 간해 섞어줍니다.', '숟가락으로 감자샐러드를 평평하게 해준 후, 삶은달걀을 올려줍니다.', '그 위로 양념한 닭가슴살을 올려주세요.', '채소도 올려줍니다.', '피자치즈를 골고루 올려주세요.', '예열된 200℃ 오븐에서 20~25분간 구워주면 완성입니다. 오븐이 없다면 전자렌지에 돌려주세요.오븐,전자레인지']"
