레시피 제목,요리명,요리재료,레시피내용
담백하고 상큼한 참치와 구운가지 샐러드,구운가지샐러드, 양상추 가지 리오 허브솔트 방울토마토 올리브 유기농,"['양상추는 깨끗하게 씻어 물기를 빼서 한입 크기로 잘게 찢어 준비 합니다. 올리브 통 참치는 기름을 빼서 준비 합니다. 가지는 3~4mm 두께로 길쭉하게 썰어 줍니다.', '그릴을 달궈 리오 올리브유를 한큰술 둘러 줍니다. 잘라둔 가지를 그릴위에 올려 허브 솔트를 뿌린후 올리브유를 위에 뿌려 구워 줍니다. 가지가 구워지면 접시에 양상추를 깔고 참치와 토마토, 구운가지등을 올려 셋팅해 주세요.', '접시에 보기 좋게 담아 주면 완성.', '여기에 맛있는 유기농 요구르트 드레싱을 뿌려 주세요.', '상큼함을 듬뿍 담은 한접시, 참치와 구운가지 샐러드 완성. 너무 맛있겠죠? 담백하고 고소한 참치와 올리브향 듬뿍 달큰한 가지구이, 아삭한 양상추와 토마토 그리고 상큼한 요구르트 드레싱까지']"
훈제연어 샐러드,훈제연어샐러드, 훈제연어 무순 이탈리안드레 다진 다진 식초 설탕 올리브오일 소금 후춧가루,"['슬라이스 된 연어를 한 장 떼어 내서 그 안에 무순을 적당히 넣고 돌돌 모양내서 말아줍니다.', '분량의 식초 1, 설탕 0.5을 먼저 섞어 설탕을 완전히 녹인 후에 나머지 드레싱 재료인 다진 양파 2, 다진 오이피클 1, 올리브오일 2, 소금 0.3, 후춧가루 약간를 넣어 이탈리안 드레싱을 만들어 줍니다. 이때 레몬즙이 있다면 살짝 뿌려주어도 좋아요.', '돌돌 말은 훈제연어를 완성 그릇에 담고, 먹기 직전에 드레싱을 뿌려내면 끝. 드레싱은 미리 만들어서 냉장고에 차게 두어도 좋아요.']"
소녀들을 위한 파스타 쿨 샐러드,파스타샐러드, 파스타 토마토 마른 블랙올리브 파슬리가루 올리브 아몬드  땅콩 다진마늘 설탕 소금 후추가루,"['세척한 토마토는 사진처럼 열십자로 칼집을 내준 후에 끓는 물에 살짝 데쳐서 토마토 껍질을 벗겨주세요.', '껍질을 벗겨낸 토마토는 씨를 제거하고 네모난 모양으로 잘게 썰어주세요.', '마른 홍고추 또는 이탈리아음식에 자주 쓰이는 말린고추인 페퍼로치노를 준비해주세요. 그 다음 씨를 제거하고 곱게 다져주시면 되요.매운맛이 싫거나 없으시면 빼셔도 상관없어요.', '블랙올리브도 잘게 썰어주세요. 샐러드나, 빵에 곁들여 드시면 좋아요.', '그 다음 넓은 볼에 잘게 다진 토마토, 블랙올리브, 페퍼로치노를 넣고다진마늘 1t, 올리브유 3T, 설탕 1t, 소금, 후추 약간을 넣고 파슬리 가루를 넣으신 다음 여기에 약간의 견과류도 잘게 다져서 넣어주세요. 그 다음 잘 섞어서 실온에 20분정도 둬서 맛이 배도록 해주세요.', ""저는 샐러드에 사용할 파스타로 '펜네'를 준비했는데요. 이외에도 콘 길리에, 푸실리등 다양하게 준비해주세요."", '그 다음 끓는 물에 소금과 올리브유를 넣고 8~10분 정도 삶아주세요.', '그 다음 체에 받쳐서 물기를 뺀 다음 식혀두세요.', '잘 식힌 파스타와 맛이 골고루 베인 토마토소스를 넣고 잘 버무려주면 완성이예요. 짜잔. 산뜻한 파스타 쿨 샐러드 완성. 파스타 쿨 샐러드는 무겁지 않고 가볍게 즐기실 수 있는 파스타예요. 견과류도 넣어서 가끔씩 씹히는 고소함도 좋아요. 토마토소스가 새콤달콤해서 파스타와도 아주 잘 어울려요. 한끼 식사로도 손색없답니다. 물론 포카치아나, 호밀빵등을 곁들여도 좋아요. 브런치나 피크닉갈때도 유용한 메뉴랍니다.']"
전복초샐러드,전복샐러드, 전복 양상추 치커리 적양배추 청양고추 붉은고추 고추장 고춧가루 식초 설탕 물엿 다진마늘 참기름 통깨,"['먼저 살아있는 싱싱한 전복을 준비합니당. 살아있는 전복을 구하기 힘드시다면 냉동전복도 괜찮답니다. 하지만 회로 먹을때는 살아있는 싱싱한 전복을 준비하셔야해요.', '이제 전복을 솔로 깨끗이 문지른 후 생수에 깨끗이 씻어줍니다.', '그리고 가운데 심을 중심으로 칼로 살살 도려내며 껍질과 분리를 시킵니다. 손 다치지 않게 식칼보단 조그마한 과일칼로 하심 쉬워요.', '그리고 같이 붙어있던 내장은 터지지 않게 잘 잘라서 분리시키고 전복 한쪽 끝에 보심 숨어있는 이빨이 있을겁니다. 그것도 떼어내세요.', '이렇게 전복껍질에서 전복살 분리시키고 내장분리. 이빨 떼어내면 전복손질 끝입니다. 이렇게 손질해서 전복죽이나 회를 만들어도 좋습니다. 이빨은 버리시구용.', '이제 끓는물에 손질한 전복살과 내장을 넣고 30초정도 살짝 데쳐줍니다. 내장은 터지지 않게 잘 분리해야 데쳤을때 내장이 빠져나오지 않습니당. 그리고 전복내장으로 양념장을 만들거기에 살짝 데쳐주었답니다.', '살짝 데친 전복살과 내장은 얼음물에 담가놓구요. 이렇게 전복을 얼음물에 넣고 식히면 좀 더 전복살이 탱탱하고 쫄깃해져요.', '이제 함께 먹을 샐러드를 준비하는데요. 양상추는 깨끗이 씻어서 손으로 뜯고 치커리도 깨끗이 씻어 먹기좋게 뜯어줍니다. 적양배추는 얇게 채썰구요.', '그리고 매콤함을 더해줄 청양고추는 꼭지를 제거해 반으로 썰어 씨를 제거한 후 채썰고 붉은고추도 꼭지와 씨를 제거해 채썰어줍니다. 씨를 제거하면 좀 덜맵기도 하고 샐러드를 깔끔하게 즐길 수 있습니당.', '이제 얼음물에 담가놓은 전복살을 건져 키친타올로 물기를 제거한 후 먹기좋게 썰어주고 전복내장도 건져서 칼로 잘게 다져서 준비해줍니다.', '고추장(1.5)+ 고춧가루(0.5)+ 식초(1.5)+ 설탕(0.5)+ 물엿(1)+ 다진마늘(0.5)+ 참기름(0.3)+ 통깨(약간) 위 재료들을 섞어준 후 잘게 썰은 전복내장을 넣고 섞어서 양념장을 만들어주세요.', '그리고 전복살에 양념장을 넣어 버무리고', '모든 채소를 접시에 깔아준 후 양념장에 버무린 전복살을 올리고 통깨를 살짝 뿌려주면 됩니다. 이렇게 전복초샐러드가 완성되었습니당. 전복을 살짝 데쳐서 쫄깃하니 너무 맛있더라구용. 상에 내놓을땐 위 사진처럼 이쁘게 담아서 내놓고.. 먹을때 섞어서 먹으면 되어요. 채소는 꼭 양상추나 적양배추나 치커리가 아니여도 그 외 집에있는 샐러드채소를 사용해도 되구요. 고추를 넣어서 약간 매콤합니다. 매운걸 잘 못먹는다면 고추 대신 피망으로 해도 될거 같구용.']"
더운 여름엔 간단하게 닭가슴살 파프리카 샐러드,닭가슴살파프리카샐러드, 닭가슴살 노랑 빨강 오이 적양파 마요네즈 소 후추 블루베리 블루베리캔 생크림 설탕 식초 매실청 소금,"['제일 먼저 끓는 물에 닭가슴살과 통후추, 올리브잎, 정향을 넣어 삶아주신 다음 식혀서 찢은 다음 냉장고에 차갑게 해 주세요. 먹기 얼마전에 냉동실에 두시면 살짝 언 듯한 느낌으로 색다르게 즐기실수 있어요.전 냉동실에 두었더니 정말 시원하게 잘 먹었답니다. 그 다음 파프리카랑 적양파는 채썰어주시고 오이는 돌려깍기 해서 채썰어주세요.모든 재료를 차갑게 해주시면 좋아요.', '위에 나와있는 블루베리 샐러드소스 재료를 미니믹서기에 넣고 윙윙 돌려주세요. 믹서기에 돌린 소스를 그냥 쓰셔도 좋구요 냉장실에 차갑게 해서 쓰셔도 좋아요. 취향껏 즐기세요.', '차갑게 준비된 샐러드 재료위에 블루베리샐러드 소스를 끼얹고 마요네즈랑 소금, 후추를 넣어 버무려줍니다. 블루베리 샐러드소스만 쓰셔도 좋구요 전 고소함을 더하기 위해서 마요네즈를 넣어줬답니다. 새콤한 닭가슴살 파프리카 샐러드 완성입니다 .']"
이젠 집에서 만들어 먹자 코울슬로,코울슬로, 양배추 옥수수캔 다진 다진 소금 식초 설탕 후춧가루 양념재 마요네즈 올리브유 머스터드,"['먼저 양배추는 씨성서 물기를 쪽 빼서 듬성듬성 잘게 다져 놓습니다.', '옥수수 통조림을 물기를 빼서 준비하고, 집에 있는 당근, 피망이나 파프리카도 잘게 다집니다.', '볼에 양배추 썬 것, 다진 당근과, 피망, 옥수수를 한데 넣고 밑간재료인 소금 0.2, 식초 1.5, 설탕 0.5, 후춧가루 적당량 를 넣고 살살 섞어 미리 양념합니다.', '또 다시 마요네즈 2, 올리브유 1, 머스터드 0.5 를 넣고 살살 버무려 주면 끝.']"
닭가슴살샐러드,닭가슴살샐러드, 닭가슴살 빨강파프리카 노랑파프리카 주황파프리카 닭가슴살 청주 소금 후춧가루 상큼소 올리브유 마늘(다지기) 레몬즙 사과 꿀 바질가루,"['끓는 물에 닭가슴살과 월계수잎을 넣고 삶아준다센불월계수잎을 넣고 삶으면 잡내를 없애준다', '양파는 잘게 다져 준다', '다진 양파와 소스를 모두 섞어 요거트소스를 만들어준다', '바나나, 삶은 고구마, 무화과, 로메인, 삶은 닭가슴살은 모두 비슷한 크기로 썰어 접시에 담아준다', '요거트소스와 함께 곁들여 준다']"
가지맛살냉채,맛살냉채, 가지(중) 맛살 양파 소금 후춧가루 참기름 통깨 설탕 식초 레몬즙 소금 다진 연겨자 고추기름,"['가지는 겉면은 씻어서 반으로 자르고, 다시 그것을 반으로 갈라 썰어주세요.', '팔팔 물을 끓여 김에 오른 찜통에 가지를 넣어 찌거나 내열용기에 가지를 사진에서 보여지는것 처럼 넣고 전자레인지에 넣고 찌기. 랩 또는 뚜껑을 닫고서 전자레인지에 넣고 약 4분간 쪄주었어요. 전저레인지에 넣어서 찌실 때는 물을 따로 넣지 않아도 되요. 나중에 보시면 물을 넣지 않았음에도 가지 자체에서 물이 흘러 나오는 것을 보실 수 있을 겁니다. 저는 랩을 사용했는데요~ 랩 말고 내열용기 뚜껑이나 아니면 아쉬운대로 접시를 엎어서 뚜껑 대신 사용해서 쪄주시면 되요.전자레인지', '가지를 넣고 찌는 동안 맛살(크래미 맛살 작은 사이즈 5개 사용했어요)은 찢어서 준비하고, 양파는 채 썰어서 함께 준비합니다.', '또 겨자 냉채 소스를 만들어줄 건데요. 겨자냉채소스 재료를 한데 섞어서 겨자소스를 만들어 주세요. 먼저 그릇에 분량의 설탕(1.5), 식초(3), 레몬즙(1)을 넣고 잘 섞어서 설탕이 완전히 녹을 때까지 저어 주시고요. 역시나 소금을 넣고 완전히 섞일 때까지 저어주고, 나머지 재료인 연 겨자와 고추기름, 다진 마늘을 넣어 주시면 되요. 레몬즙이 없다면 생략하거나 아니면 레몬즙 분량의 반 정도 되는 식초를 더 추가해서 넣으셔도 된답니다.', '가지가 쪄지는 동안 겨자냉채소스를 다 만들어 놓고 가지가 다 쪄지면 한김 식혀주세요.', '가지를 손으로 쭉쭉 찢어 주거나 칼을 이용해서 먹기 좋게 잘라 주세요.', '먹기 좋게 자른 가지를 볼에 담고, 약간의 소금, 후춧가루를 넣고 조물조물 가지만 먼저 무쳐주세요. 가지를 그냥 나중에 냉채소스만 해서 무치게 되면, 은근히 가지 속까지 양념 맛이 잘 배이지 않더라고요. 그래서 이렇듯 먼저 가지만 볼에 담고, 아주 약간의 소금, 후춧가루로 밑양념을 해주도록 합니다.', '볼에 밑양념한 가지와 맛살, 양파를 담고 미리 만들어 놓은 겨자냉채소스를 붓고', '조물조물 양념이 재료들에 잘 배이도록 무쳐주고, 취향 따라서 참기름(0.5), 통깨(1)를 더 넣고,한번 더 슬쩍 무쳐주면 끝.']"
이탈리안 드레싱의 새우샐러드,새우샐러드, 새우(中) 양상추 치커리 붉은피망 샐러드 레몬즙 화이트와인 소금 이탈리안 올리브유 다진양파 다진피클 레몬즙 식초 설탕 바질 소금 후춧가루,"['먼저 새우는 등쪽 2~3마디를 이쑤시개로 찔러 검은 실같은 내장을 제거한 후, 찜솥에 올려 레몬즙, 화이트화인, 소금을 뿌려 10분간 찝니다. 화이트와인이 없다면 맛술이나 청주 가능합니당.', '붉으스름해진 새우는 머리, 꼬리를 제거한 후 껍질을 벗겨주세요.', '접시에 양상추, 치커리, 그 외 샐러드용 채소는 먹기좋게 손으로 찢어 올리고 붉은피망은 네모나게 썰어 올려주세요. 그 외 샐러드용 채소는 자신의 취향에 맞게 채소를 준비하심 되요. 양배추를 준비해도 좋고요. 그 외 쌈채소를 준비해도 좋아요.', '그리고 그 위에 새우를 올려줍니다.', '분량의 이탈리안 드레싱을 만들어줍니다.', '그리고 샐러드 위에 이탈리안 드레싱을 뿌려주면 완성! 상큼하고 깔끔한 맛의 이탈리안 드레싱이 들어가서 샐러드가 가볍고 다이어트 하시는분들에게 좋은 샐러드랍니당. 가볍게 허기가 질때 만들어 드심 좋을거에용. 한끼식사로도 손색이 없더라구용.']"
배 샐러드,배샐러드, 양상 방울토마 오  새싹채 칵테일새우 올리브유 식초 레몬즙 소금 꿀 후춧가루,"['모든 재료를 적당한 크기로 썰어서 양상추는 얼음물에 담갔다가 야채탈수기로 물기를 싹 제거하고', '접시에 샐러드 재료를 가지런히 담고', '소스재료 만들어서', '먹기 직전에 소스를 뿌려주면 되지요.']"
배냉채,배냉채, 배 오이 게맛살 새싹채소(생략가능) 다진 진간장 식초 꿀 소금 참기름,0
알밤 샐러드,밤샐러드, 깐밤 배 단감 무순 유자차 배,0
상큼한 맛 발사믹 드레싱과 리코타치즈 샐러드,리코타치즈샐러드, 양상추 오이 방울토마토 리코타치즈 발사믹 식초 양파 파슬리 올리브유 씨겨자 후추 소금 올리고당,0
마카로니 감자샐러드,감자마카로니샐러드, 마카로니 감자 건파슬리가루 소금 설탕 마요네즈 우유,"['마카로니는 끓는 물에 충분히 부드럽게 삶은 후에 건져서 적당한 크기로 잘게 썰어둡니다.', '감자 3개는 전자렌지에서 8분간 돌려 푹 익혀 으깬 후, 마카로니와 마요네즈1 (칼로리때문에 적게 넣었어요), 설탕 1, 우유 5스픈, 소금 0.3을 넣었어요.전자레인지', '여기에 우유 5스픈을 넣어 부드럽게 해주었답니다. 안그러면 뻑뻑해서 먹기 불편하거든요.', '골고루 잘 버무려줍니다.', '아이스크림을 뜨는 스쿱으로 동그랗게 떠서 접시에 담고 파슬리가루를 솔솔 뿌려줍니다.']"
간식으로 먹고 반찬으로도 먹는 마카로니 샐러드 ,마카로니샐러드, 마카로니 사과 당근(중) 옥수수 땅콩 건포도 물 굵은 설탕 마요네즈 머스터드 물엿 소금 후춧가루,"['마카로니 1컵을 준비하고 물 5컵, 굵은 소금 1, 설탕 2을 넣고 물을 팔팔 끓여 물이 정신없이 바글바글 끓으면, 마카로니 1컵를 넣어주고 바닥에 들러붙지 않도록 숟가락으로 몇번 저어가면서 삶아주도록 합니다. 모든 파스타 종류는 삶을 때 물이 끓고나면 넣어주고 그리고 물에 안에 파스타에 간이 될 수 있도록 적당량의 소금을 넣고 같이 삶아 줍니다. 저는 나중에 설탕을 넣느니, 단 맛도 같이 맛있게 배어들라고 설탕을 함께 넣어 주고 삶아요.', '그냥 마카로니만 마요네즈에 버무리면 맛이 별로더라고요. 그래서 제가 같이 넣어서 맛있었던 재료들을 생각해서 이런 재료들을 같이 넣어서 먹고 있답니다. 옥수수 통조림 1컵, 사과는 작은 것으로 1개 잘라 준비하고 당근도 씹어 먹기 좋게 작게 잘라서 준비하고 건포도 3숟갈, 땅콩 3숟갈을 함께 준비합니다.', '재료들을 준비하는동안 마카로니가 삶아졌어요. 중간중간 삶으면서 서로 달라붙거나 바닥에 눌러붙지 않게 저어 주시면서 삶으시고요. 적당히 색깔이나 하나 건져 맛을 보아서 다 익은 정도라면 불을 끄시면 된답니다.', '다 삶아진 마카로니는 절대 물에 헹구지 말고, 그냥 체에 밭쳐 물기를 빼주기만 하세요. 되도록으면 넓게 펼쳐서 식혀 주시되, 중간에 역시 달라붙지 않게 고슬고슬 밥 짓고 나서 주걱으로 밥알을 풀어 주듯이 서로 마카로니끼리 떼어가면서 식혀 주시면 되지요. 마카로니가 충분히 식으면, 볼에 미리 준비한 같이 넣어줄 재료들과 마카로니를 한데 넣고 마요네즈 5, 머스터드 0.5, 물엿 1, 소금, 후춧가루 약간씩를 넣고 골고루 재료들이 섞이도록 숟가락으로 버무려주면 된답니다. 소금을 넣는다고 표기를 하긴 했는데 이건 나중에 맛을 보아서 간이 싱겁다 싶으면 더 넣어주세요.']"
