레시피 제목,요리명,요리재료,레시피내용
단호박 두유스프,단호박두유스프, 단호박 양파 버터 검은콩 우유 소금 메이플,"['단호박은 껍질을 벗기고 작게 썰어 전자렌지에서 10분간 익혀주었답니다.전자레인지', '익힌 단호박에 검은콩 두유를 블렌더에 함께 담아 갈아주었어요.', '팬에 버터를 두르고 양파를 다져서 양파가 투명해질때까지 달달 볶아주세요.', '단호박과 검은콩 두유, 그리고 우유를 넣어 저어가며 중불에서 끓여줍니다.', '도깨비 방망이로 양파 알갱이를 곱게 다져주었어요.', '소금간을 하고.. 메이플 시럽을 1큰술 넣어주었답니다. 메이플 시럽 대신 꿀을 넣으셔도 되어요~ 그런데 메이플 시럽의 독특한 향 때문에 더 맛있더라구요.', '저어가며 잠시만 더 끓여주면 단호박 두유스프 완성~!']"
국물이 달콤한 마카로니 야채스프,마카로니야채스프, 소고기 양파 피망 당근 마카로니 버터 방울토마토 케첩 소금 설탕,"['마카로니는 소금물에 삶아 두고, 당근, 피망, 양파를 잘게 다져서 버터에 먼저 볶아요. 야채가 익으면 소고기 육수 3컵을 붓고 부글부글 끓입니다.', '방울토마토는 잘게 다져두고, 끓고 있는 냄비에 다진 토마토를 넣고 양념을 합니다.', '토마토가 푹 익고나면 삶아둔 마카로니를 넣고 조금만 더 끓여주면 끝. 입맛에 따라 후춧가루를 넣어도 좋아요.']"
고구마양파스프,고구마양파스프, 고구마 양파 버터 우유 후추 소금,"['고구마는 찐고구마로 준비하셔서 껍질을 잘 벗겨주세요.', '고구마는 팍팍 갈아서..아예 뭉개서 사용해도 좋지만 씹는맛을 위하여 토막내서 썰어주세요.', '양파는 송송 썰어서.. 버터 두른 팬위에 달달 볶아주세요. 볶으면서 소금 후추를 살짝 넣고 간을해주세요.', '우유 200g 정도에..볶은 양파를 넣고 팍팍 갈아주세요.', '높이가 좀있는 팬안에 방금 갈아주었던 양파우유물과 잘게 썰어둔 고구마를 넣고 끓이세요. 고구마는 끓이면서.. 주걱으로 콕콕 콕 누르면서자갈자갈~~ 끓여주세요. 으깨면서 끓여주는게 포인트! 나머지..우유 200g 도 같이 넣어주세요.', '어느정도 고구마가 으깨지고~ 걸죽해졌다싶을때.. 간을 보세요. 좀 싱겁다 싶으면 소금이나, 후추로 간하기. 너무 걸죽하게..찐득하게 졸여졌다싶을때. 국물이 너무없을땐... 우유를 더 첨가해주시면 고구마 양파 스프 끝!!']"
아스파라거스 스프,아스파라거스스프, 아스파라거스 양파 버터 밀가루 물 생크림 후추 허브맛,"['아스파라거스는 비타민C는 물론 단백질 함량까지 높은 줄기 채소랍니다. 아스파라거스는 줄기 식물이기 때문에 밑둥 부분이 섬유질이 많아요. 그래서 그냥 조리하게 되면 질기게 될 수 있어 밑부분은 껍질을 얇게 벗겨내주셔야 해요.', '팔팔 끓는 물에 소금을 1T 넣고 아스파라거스를 살짝 데쳐주세요.', '양파와 소금물에 데친 아스파라거스에 허브맛 솔트를 넣고 볶아주었어요.', '볶은 양파와 아스파라거스를 믹서에 넣고 물 2컵과 함께 갈아주세요. 아스파라거스를 최대한 곱게 갈아주기 위해서는 물 2컵을 한꺼번에 넣지 마시구요. 1컵을 넣고 잘 갈아졌을때 나머지 1컵을 넣어주시면 좋아요.', '버터가 녹으면 밀가루를 넣고 약한불에서 볶다가 생크림을 넣어주는데 이과정을 루 만들기라 한답니다. 버터가 녹으면 밀가루를 넣고 멍울이 지지않게 잘 저어주셔야해요.', '옅은 갈색이 돌때까지 약한불에서 볶다가 생크림을 넣고 멍울지지 않게 저어주세요.', '루에 갈아둔 양파와 아스파라거스를 넣어 약한불에서 저어가면서 끓여주고 밑간을 해준다. 푸른 빛을 많이 내고 싶으시면 아스파라거스 양을 더 많이 넣어주세요.']"
부드럽게 즐기는 우리집 야식메뉴 양송이 치즈 스프,양송이치즈스프, 분말스프 양파 당근 치즈 물 버터,0
단호박 수프,단호박스프, 단호박 양파 감자 우유 생크림 버터 소금,"['단호박과 늙은 호박은 껍질을 벗기고 깍둑썰기 한다. 단호박은 초록 껍질을 충분히 벗겨내고 노란 속살 부분만 사용해야 수프 색이 곱고 노란빛이 난다.', '바게트는 잘게 깍둑썰기 해 올리브유에 묻혀 팬에 바삭하게 구워 크루통을 만든다.', '냄비에 버터를 녹여 대파 흰 부분을 넣고 투명해질 때까지 볶는다.', '단호박과 늙은 호박을 넣은 다음 닭 육수를 붓고 소금을 넣어 뚜껑을 닫은 채로 20분간 푹 끓인다.', '블렌더에 곱게 갈아 다시 냄비에 넣고 생크림을 넣어 살짝만 더 끓인다.', '그릇에 수프를 담고 크루통을 뿌려 낸다.']"
감자 수프,감자스프, 감자(중) 찬물 우유 생크림 소금 베이컨 파슬리 치킨스톡 버터,"['감자는 잘게 썰어 물을 자작하게 붓고 삶아준다.', '물기는 따라버리고 으깬 후 우유를 부어준다.', '우유와 감자를 잘 섞어 끓여준 후 옥수수를 넣어준다.', '소금, 후추를 넣고 그릇에 담아낸다.']"
브로콜리 감자 스프,브로콜리감자스프, 감자(중) 양파(중) 브로콜리 생크림 버터 소금,"['브로콜리는 데쳐서 준비해주시고요~', '감자와 양파는 달구어진 팬에 버터를 두르고 양파나 감자가 투명해질때까지 볶아주세요. 마늘을 넣으셔도 되고 안넣으셔도 됩니다.', '데친 브로콜리와 팬에 볶아놓은 감자와 양파를 믹서에 넣고 휘리릭 갈아줍니다.', '냄비에 갈아놓은 야채들을 넣고 생크림을 넣어줍니다~', '소금으로 간을 해주시면 끝.']"
베이컨 감자스프 ,베이컨감자스프, 양파 감자 베이컨 버터 물 우유 파마산치즈가루 소금 후추 체다치즈 파슬리가루,"['양파 반개를 썰어서 준비하구요.', '팬에 버터와 양파를 넣고 볶아주세요~', '감자를 썰어미리 준비해두시구요. 버터와 양파를 볶던 팬에 썰어둔 감자를 넣고 살짝 볶아주세요.', '물을 넣고 10~15분정도 감자가 익을때까지 끓여줍니다.', '감자를 익힐동안 베이컨은 바삭 구워서 키친타올에 기름을 빼주어 잘게 잘라 준비해둡니다.', '다 익은 감자를 믹서기에 넣고 곱게 갈아주세요. 좀 씹히는 맛이 좋으시면 너무 많이 갈지 마시고 적당히 갈아주세요.', '파마산치즈가루, 소금, 후추, 우유를 넣고 끓여주세요. 소금과 후추는 조금만 넣어주고 끓이면서 조금씩 추가해서 간해주세요. 한번 끓이면 다 완성된거예요~', '그릇에 담구요. 체다치즈를 올려 주세요. 뜨거울때 담아서 치즈를 올리면 치즈가 녹는답니다. 제가 좋아하는 시금치 치즈예요. 치즈위에 베이컨도 올려주고, 파슬리 가루 솔솔 뿌려주면 완성~ 먹기전 통후추를 뿌려 주셔도 좋답니다.']"
고소한 단호박스프,단호박스프, 단호박 호박 우유 생크림(or 소금 흰후추,"['호박을 잘게 썰어둡니다. 호박이 잠길정도의 물을 부워서 푹 무를때까지 익힙니다.', '그리고 믹서기에 담은후 우유를 부워줍니다. 우유는 한꺼번에 다 붓지마시고 나중에 끓일때 농도를 보면서 조금씩 더 추가합니다.', '곱게 갈아졌다면 냄비에 담아줍니다. 이때 체에 한번 걸러서 사용하시면 좀더 고운 스프가 되겠지요~ 스프가 끓어오를즈음 중약불로 줄입니다.', '생크림이나 휘핑크림을 넣어줍니다. 이때 남은 우유로 농도를 맞춰주시면 되겠어요.', '걸죽해질때까지 호박스프를 끓이신후 소금과, 흰후추로 간을 해줍니다.']"
우유넣고 끓여 칼로리 부담을 줄인 치킨 스프 ,치킨스프, 닭안심살 빨강 주황 양파 우유 소금 밀가루 후추,"['닭안심살을 준비해주세요 ~ 안심이 없으시면 가슴살로 대체해주세요. 닭안심을 잘 삶아주신후에 손으로 부셔서 준비해주세요.', '야채들은 잘 다져서 준비해주세요.', '냄비에 버터와 올리브유를 넣으신후에 닭안심살 으깬거와 양파를 넣고 살짝 볶아주세요. 요때 양파를 푸욱~ 무르게 안볶으셔도 되요.', '대충 양파색이 살짝 투명해질라고 한다 싶으시면 파프리카를 넣고 잘 볶아주세요.', '어느정도 볶아주시다가 준비해둔 우유를 넣고 보글보글 끓여주세요. 요때 칼로리좀 줄여보겠다고 저는 생크림을 안넣고 우유를 넣고 끓여줬어요.', '끓여주시다가 밀가루 1Ts 을 넣고 밀가루가 뭉치가 아니하도록 재빠르게 저어주세요. 밀가루를 넣어주신 후에 소금을 넣어서 간을 살짝 맞춰주세요. 그리고 후추도 살짝 넣어주세요.']"
진하고 부드러운 맛이 일품인 브로콜리 스프,브로콜리스프, 브로콜리 양파 감자  크루통  물 치킨스톡 우유 생크림 올리브 버터 소금 후춧가루,"['저 양파와 감자는 최대한 얇게 슬라이스하여 채져 줍니다. 브로콜리는 끓는 물에 살짝 데쳐 준비합니다.', '냄비에 올리브 오일과 버터를 두르고, 얇게 슬라이스 한 양파를 볶아 줍니다.(소금, 후추 약간 첨가) 타지 않도록 계속 저어가며 오래동안 볶아 줍니다. 양파가 충분히 볶아지면 슬라이스 한 감자를 볶아 줍니다. 감자가 어느정도 익으면 브로콜리를 넣어 볶아 줍니다.', '모든 재료가 잘 어우러지면 육수를 붓고 뚜껑을 걸친 채로 덮어서 20분 정도 은근하게 졸여 줍니다. 되직한 상태가 되면 믹서로 갈아 줍니다. 우유를 붓고 끓이다가 소금으로 살짝 밑간합니다. 생크림을 넣고 한 번 후루룩 끓으면 불을 끕니다.']"
간단한 고구마 스프 ,고구마스프, 고구마 우유 양파 소금,"['고구마를 씻어서 찝니다. 다 쪄지면 껍질을 벗겨 적당한 크기로 잘라 믹서기에 담습니다. 우유를 붓고 갈아줍니다.', '냄비에 붓습니다. 그리고 약불에서 끓입니다. 밑에 눌어 붙지 않도록 저어가며 끓입니다.', '양파를 잘게 다져서 후라이팬에 복습니다. 노릇노릇해지게~', '끓고 있는 스프에 볶은 양파 넣어 함께 끓이고 소금으로 간을 합니다.']"
브로콜리 크림스프,브로콜리크림스프, 데친 버터 밀가루 우유 치킨스톡 따뜻한 소금 후추,"['먼저 약간의 브로콜리를 데쳐서 준비합니다. 전 데쳐서 먹던 브로콜리가 있어서 그걸로 사용했어요. 치킨스톡은 따뜻한 물 50ml 에 미리 녹여서 준비합니다. 달군 팬이나 냄비에 불을 약불로 줄이고 버터를 녹입니다.', '버터는 금방 타니까 지켜보고 있다가 버터가 녹으면 밀가루를 넣고 고루 섞으면서 타지않게 볶아주세요. 이것이 스프의 기본이 되는 루를 만드는 과정인데 이 과정에 따라 스프맛이 좌우되니까 태우지않게 주의하세요.', '약간 갈색빛이 돌면서 구수한 냄새가 나면', '우유를 조금씩 넣으면서 멍울이 없도록 계속 저어주세요.', '여기에 치킨스톡 녹인 물도 넣어주세요.', '밑이 눌을 수 있으므로 약불에서 계속 저어줘야 합니다.', '거품기로 계속 젓다보면 어느순간 농도가 뻑뻑해지는데 이때 데친 브로콜리를 약간 다져서 넣어주고 나머지는 장식으로 남겨두세요. 소금과 후추로 간을 한 다음 불을 끄고 좀 더 저어주세요. 남은 열기에 밑이 눌을 수 있어서 그러는 겁니다. 치킨스톡이 들어갔으므로 소금은 간을 보고 조금만 하세요. 만약 치킨스톡이 없다면 소금과 후추로만 하셔도 되지만 맛은 좀 덜해요.', '브로콜리 크림스프를 그릇에 담고 남겨 둔 브로콜리를 장식으로 올린다음 맛있게 드시면 됩니다. 그루통이나 빵이 있으면 찍어서 드셔도 맛있어요.']"
감자야채스프,감자야채스프, 감자(중) 우유 버 양 당 파프리 슬라이스치즈 소금,"['준비한 야채를 잘게 썰어주세요.', '감자는 삶아 준비해주세요.', '믹서기에 우유와 감자를 넣어 갈아줍니다.', '냄비에 감자+우유 갈은 물을 넣어 저어주면서 끓여주세요.', '끓기 시작하면 야채를 넣어 조금 더 끓여줍니다.', '불 을끄고 슬라이스 치즈를 올려 휘익 저여주면 끝.']"
생크림 양송이스프,생크림양송이스프, 양송이 양파 생크림 우유 밀가루 버 소금 후추,"['양송이와 양파는 슬라이스로 손질해 썰어서 준비해주세요.', '버터를 녹인 팬에 먼저 양파를 넣고 반투명해질때까지 볶아주다가, 양송이를 넣고 또 살짝 볶아주세요.', '볶아진 양송이와 양파에 밀가루를 넣고 타지않게 살살 3분 정도 볶아주고, 준비한 생크림과 우유를 넣고 살짝 끓여주세요.', '이제 핸드블렌더나 믹서에 넣고 원하시는 만큼 갈아주세요. 저는 살짝 작은 알갱이들이 있게 갈아주었어요. 버섯의 씹이는 알갱이들이 조금 있는 정도로. 그리고는 다시 냄비에 넣고 보글보글 끓여서 소금과 후추로 간을 해주면 완성입니다.', '살짝 바삭하게 구운 식빵에 콕! 찍어서 먹으면 너무 맛있죠.']"
나만의 양배추 다이어트 스프,양배추스프, 양배추 양파 육   비엔 칼국 베이 달걀 천연다시or라면스프or우동스,"['양배추1/4 쪽, 양파 반개, 물을 냄비에 넣어주세요. 간은 천연다시를 이용하기도 하구요. 기분에 따라 몸에 해롭다는 라면스프를 넣기도 하구요. 육수를 이용하기도 하구요. 요즘 새로 발견한게 슈퍼에 파는 우동스프라는 가루스프를 그냥 한봉지 타넣으니까 쉽더라구요. 요걸 기본으로~', '기분에 따라 비엔나 두개, 칼국수면발 몇가닥, 베이컨 한장, 달걀한개 등등 취향에 따라 매일 다른 재료로 바꿔가며 하루에 한번 이 다이어트 스프를 먹으려고 애써요. 쪼콤 비굴한 스프같지만 맛있어서 양배추, 양파 금새 다 건져먹으면 포만감도 있구요. 날뛰는 식욕이 싹 가십니다. 무엇보다 맛있쪄요~~~', '다이어트 스프 완성~ 믿거나 말거나 시겠지만 우리동생이요~~~다이어트 스프로 두달만에 살을 13키로 뺐답니다.']"
단호박 스프,단호박스프, 단호박 양파 버터 물 우유 생크림 설탕 소금,"['숟가락을 이용해 단호박 씨를 제거해요. 깔끔하게 박박 긁어 주세요.', '전자레인지나 냄비를 이용하여 호박을 쪄주세요. 단호박은 껍질째 뒤집어 쪄내야 움푹 패인 부분에 물이 고이지 않아 맛이 좋답니다. 고구마든 호박이든 물을 이용해 쪄낼때에는 , 물이 넘치지 않을 정도로 반정도만 채우셔야해요. 끓으면서 수분이 재료에 닿으면 맛 없어 집니다.전자레인지', '달궈진 팬에 버터를 넣고 녹인다음, 양파를 넣어 은근하게 투명해질때까지 타지 않도록 볶아요. 무슨 야채든 볶으실때는 센불에서 재빨리 후다닥 볶아내셔야 수분이 빠지지 않고 머물러 있죠!', '초록색 껍질은 최대한 제거 해주세요.', '껍질이 분리되면 우유, 단호박, 양파를 넣어 곱게곱게 갈아 주세요.', '이제 냄비에 옮겨 담아 생크림을 넣어 끓이시기만하면 된답니다.']"
