레시피 제목,요리명,요리재료,레시피내용
쓱쓱 비벼먹는 매운 강된장,강된장, 쇠고기 감자 양파1/2 다진마늘 청양고추 멸치육수용 물 된장 요리술 고춧가루 설탕 참기름,"['냄비에 한공기 반 정도의 물을 붓고 다시멸치 반줌(한손으로 잡아서)을 넣고 불에 가열하여 멸치 육수를 만들어 놓아요.', '양파 반개를 잘게 다져놓고 감자 1개중 반개를 양파처럼 잘게 다져요. 그리고 감자 반개 남은 것은 강판에 갈아 줍니다. 고기는 칼을 탕탕 내리치면서 잘게 다져 놓아요.', '냄비에 야채들과 고기, 마늘을 넣고 참기름을 두른후 살짝 볶다가 된장을 넣고 마져 볶아줘요. 된장이 야채와 고기에 배일 정도로만 볶아주면 되요.', '고춧가루를 넣어주고요.', '멸치 육수를 부어주어요. 육수물은 부어서 자작할 정도로만요. 그담에 아까 갈아서 준비해 둔 감자 간걸을 넣고 요리술 한숟가락 넣고 끓이면 되요. 요리술이 잡내를 잡아주고 향취를 좋게 해줘요. 없으면 생략!', '갈아넣은 감자 때문에 국물이 걸쭉해지면 불을 끄고 설탕을 2/3티스푼(찻숫가락)만 넣어 감칠맛을 살리면 되요. 절대 설탕을 많이 넣음 안되고 딱 1/2티스푼~2/3티스푼 정도 넣어주고요.']"
♪ 오이깍두기! 누가 만들어도 맛있어요. ,오이깍두기, 오이12 부추 굵은소금 액젓 화인스위트 고추가루 홍고추 쪽파 다진마늘 다진생강,"['오이는 손질하여 길이로 4등분하여 3센치정도의 길이로 잘라 굵은 소금을 뿌려 30분정도 절인다.', '부추와 쪽파는 오이길이보다 약간 ㅈㅏㄼ게 자르고 홍고추는 반으로 갈라 가늘게 채를 썬다', '소금에 절여진 오이에 고추가루와 다진마늘을 넣어 대충 섞은 뒤에 액젓을 넣어 간을 하고 감미료를 넣은 뒤에 파, 홍고추를 넣어 잘 섞어준다.', '마지막으로 부추를 넣은 뒤에 간을 보고 싱거우면 액젓이나 소금으로 간을 맞추면 끝!']"
이처럼 쉬운 김치가 또 있을까?? 파김치,파김치, 쪽파 물 밀가루 멸치액젓 고춧가루 설탕 통깨,"['쪽파 1단은 깨끗하게 다음어서 흐르는 물에 씻은 다음 체에 밭쳐 물기를 빼줍니다. 쪽파는 뿌리 부분이 둥글둥글하고 굵고 길이가 짧은 재래종으로 골라야 해요. 뿌리부분이 너무 굵은 것은 칼등으로 으깨지지 않도록 살살 두드려 담그셔요. 만약 시간이 넉넉하다면 미리 파에 멸치액젓을 살살 흩뿌려 20분 정도 절여주면 더 깊은 맛이 난답니다. 또 김장철에 등장하는 갓을 같이 넣고 담그면 훨씬 더 맛이 있지요.', '3분의 2컵의 물에 밀가루 0.7을 넣어 멍울지지 않게 잘 푼 다음 약한 불에 저어가며 밀가루풀을 쑤어줍니다.', '충분히 식힌 밀가루풀 6에 멸치액젓 6, 고춧가루 5, 설탕 1, 통깨 1를 넣고 양념장을 만듭니다.', '파에 양념장을 골고루 펴서 바르고, 김치통에 차곡차곡 담아주면 끝. 오래 푹 익힌 것을 좋아하면 실온에 하루이틀 정도 두었다가 냉장보관해서 드시면 된답니다.']"
자취생 라이프 오이소박이,오이소박이, 백오이 굵은소금 물 부추 고춧가루 새우젓 멸치액젓 다진파 다진 설탕,"['백오이는 굵은 소금에 벅벅 문질러 씻어 4등분 한 다음 끝에 1cm정도 남기고 십자로 칼집을 내줍니다.', '굵은 소금과 물 약간 뿌려서 잘 섞은 다음 3시간 정도 절여줍니다.십자로 잘린 부분을 뒤로 꺾어보아 부러지지 않고 구부러지면 다된거예요.', '새우젓은 쫑쫑 다지고 고춧가루는 멸치액젓에 불려줍니다. 부추는 깨끗히 씻어 손가락 2마디 정도 길이로 숭덩숭덩 썰어 다진 새우젓, 불린 고춧가루 등과 분량의 양념재료와 함께 섞어줍니다. 혹시 양념이 뻑뻑하면 물을 조금 넣어주세요.', '오이는 다 절여졌으면 살짝 헹군다음 물기를 빼고 만들어둔 양념을 칼집 사이로 쏙쏙 채워줍니다.', '오이를 차곡차곡 담아 준 다음 남은 속까지 다 긁어서 넣어줍니다. 일주일 이상 지나 오이가 익으면 먹으면되지요. 냉장고상태에 따라 익는 시간은 차이가 있을수있어요.']"
새콤달콤 상추겉절이,상추겉절이, 상추 양파 부추 샘고을 양조간장 고추가루 마늘 설탕 통깨,"['양파와 부추는 먹기 좋은 크기로 썰어 둡니다. 상추는 손으로 3등분해서 뜯어 놓습니다.', '볼에 상추와 양파, 부추를 넣고 섞어 둡니다. 샘고을 감식초, 고추가루, 간장, 설탕, 통깨등을 넣고 양념장을 만들어 줍니다.', '상추와 채소를 섞어 놓은 볼에 양념장을 부어 가며 젓가락으로 살짝 살짝 버무려 주면 완성. 상추 겉절이는 먹기 직전에 양념장을 섞어 가볍게 버무려주고 기호에 따라 참기름을 약간 넣어 줍니다.', '새콤달콤 싱싱함으로 입맛을 돋구는 상추 겉절이 완성. 상추 겉절이는 먹기 직전에 바로 무쳐서 상에 내놓는게 좋아요. 상추가 얇고 간이 금방 배어들기 때문에 미리 무쳐 놓으면 숨이 죽어서 보기에도 좋지 않고 아삭함도 사라지거든요. 그냥 양조식초를 사용한것 보다 맛이나 풍미도 좋구요. 그동안 상추를 고기 싸먹을때만 드셨다면 상큼하게 버무린 상추겉절이 한번 드셔 보세요.']"
밥 비벼 먹는 김치로는 최고 열무김치,열무김치, 열무 절임 굵은 물 홍고추 양파 마늘 생강 멸치액젓 찬 설탕 고춧가루 열무,"['열무는 뿌리 쪽을 살살 긁어서 지저분한 부분만 도려내고, 잎도 시든 부분만 떼어내어 다듬습니다.', '물 4컵에 굵은 소금 1컵을 섞은 것을 열무에 넣고, 열무를 40분~1시간가량 절입니다. 절이는 중간에 딱 한번 정도만 열무의 위치를 위아래로 바꿔 주세요. 여러 번 뒤집다 보면 열무 풋내가 날 수 있답니다. 열무를 씻을 때도 그렇고 다듬을 때도 마찬가지 씻을 때 너무 세게 문지르게되면 겉면에 상처가 생기고 풋내가 날 수 있습니다. 열무를 절일 때도 커다란 볼에 열무를 넣고 소금물 녹인 것을 살포시 뿌려주면 되는 것이지요', '절이는 시간은 계절에 따라 다르겠지만, 보통 더운 날에 열무김치는 많이 담으니깐, 시간은 40분-1시간 정도가 적당하더라고요..', '열무가 절여지는 동안 열무김치에 들어갈 홍고추와 마늘, 생강, 그리고 양파를 준비하고, 밥도 같이 준비해 믹서에 홍고추 12개, 양파 중 1개, 마늘 20쪽, 생강 2톨, 멸치액젓 2분의 1컵, 찬 밥 5 을 넣고 윙 갈아줍니다. 밥이 잘 갈리게 하려면 먼저 믹서에 찬밥과 액젓을 넣고 같이 갈아 주시고 그리고 나머지 재료를 넣고 갈아 주시면 밥알이 잘 갈리게 할 수 있답니다. 갈은 것에 설탕 3, 고춧가루 5, 열무 절인 물 2컵 을 섞어 열무김치양념을 완성합니다. 열무가 다 절여지면 절인 물을 버리지 말고 양념장에 2컵을 같이 넣고 섞어줍니다. 그리고 열무김치에는 전 아무래도 설탕이 조금 들어가야 쓴맛이 없더라고요.', '열무가 이렇듯 나른하게 절여지면 이때 절인 물은 홀라당 다 버리지 마시고 나중에 절인물을 양념장에 같이 섞어서 사용할 거예요.', '찬 물에 살살 열무를 헹궈 물기를 빼서 건져두고 절여서 씻은 열무에 미리 만들어 둔 양념장을 적당히 넣고 살살 묻히듯이 섞어서 버무려준 뒤 김치 통에 가지런히 담고, 실온에서 24시간 정도 익혀서 냉장고에 넣고 며칠이 지나서 먹으면 끝. 바로 먹는 것 보다 열무김치는 오래 지나서 푹 익혀서 먹는 것이 더욱 맛이 있어요.']"
고구마 줄기 김치,고구마줄기김치, 고구마줄 청홍고 고추가 마 양 배 멸치액 통 소 설,"['준비된 고구마 줄기는 끓는 소금물에 살짝 데쳐 껍질을 제거해 주세요.', '믹서기에 적당한 크기로 썰은 양파, 홍고추, 마늘, 배를 넣고 멸치액젓을 함께 넣어 갈아주세요.', '청-홍 고추는 깨끗히 씻은 뒤 어슷어슷 썰어 주세요.', '볼에 준비된 고구마 줄기와 곱게 갈아둔 양념들과 청홍고추, 고추가루, 통깨를 넣어 잘 섞어줍니다. 마지막으로 설탕 소금을 넣어 간을 조절합니다.']"
녹차 물김치 ,녹차물김치, 배  오 미나 잔  마 양 생강 소 설 가루녹,"['냄비에 분량의 물을 부어 끓으면 가루녹차를 넣어 잘 풀어 식혀 주세요.', '배추,무는 연한 부분만 이용해 한 입 크기로 썰어 주세요.', '오이는 얇게 통으로 썰고 미나리와 잔파도 한 입 크기로 썰어 주세요.', '볼에 물기를 제거한 배추를 넣고 준비된 녹차물을 부어 소금과 설탕을 넣어 간해 주세요.미나리,잔파,오이도 넣어 주세요.', '잘게 다진 양파, 마늘, 생강과 한 입 크기로 자른 배도 넣어 줍니다.', '골고루 섞어 준 후 마지막으로 소금간 해 주세요.']"
오미자 열무 물김치,오미자열무물김치, 열 단배 오미 홍고 찹쌀가 당 마 생 양 배 설 소,"['건 오미자는 흐르는 물에 깨끗이 씻어 먼지를 제거한 후 물을 부어 끓여 줍니다. 몇시간후 물이 식으면서 오미자 물이 빨갛게 변한답니다. 식은 오미자 물에 찹쌀가루를 풀어 다시 한번 저으면서 끓인후 식혀 주세요.', '열무와 단배추를 다듬은 후 깨끗히 씻어 물기를 제거해 줍니다.', '제거된 단배추와 열무에 소금을 뿌려 섞은 후 30분 정도 둔 후 숨이 죽으면 물에 다시 한번 씻어 줍니다.', '홍고추는 싱싱한 것으로 준비해 믹서에 곱게 갈아 주세요.', '물기를 제거한 열무,단배추에 곱게 간 마늘,양파,배와 홍고추,채 썰어둔 당근을 넣어 고루 섞어 주세요.', '오미자로 만든 찹쌀물을 부은 후 고루 섞어 준 후 소금으로 마지막 간을 해 주세요.']"
간장게장  콩전 만들기 ,간장게장, 간장게 청양고추 통마늘 생강 양파 사과 다시마(10X10) 표고 건고추 통후추 대파 간장 생수 정종 매실엑기스 콩 물 튀김가루 콩 쌀 양파,0
깍두기 ,깍두기,  양 마늘 액 굵은소 고추가 삼성 통 잔,"['다싯물을 먼전 끓여요', '무우는 다듬어 씻어 준비하고', '요만큼은 채나물 할려고 남겼어요^^', '무우는 각둑썰기로 잘라요', '소금을 한주먹만 넣고 절여요', '소금뿌리고 30분 뒤집어주고 30분 있다가 행궈주시면되요', '양념준비를 해요', '끓인 다싯물을', '배랑 밥에 같이 넣고 갈아요', '갈아놓은 밥물에 고추가루 8큰술을 넣고 섞어주어요', '집간장50ml', '어간장50ml 넣고', '잘 얶어주어요', '1시간동안 절여진 무우를행궈서 물을 잠깐뺏다가', '양념을 넣고', '양념이 고루 묻게 잘 버무려주세요']"
밥도둑 약고추장 ,약고추장, 소고 양 마 사 배 고추 된 참기 간 물 후,"['소고기는 곱게 간 것으로 준비했어요. 볼에 소고기를 넣고 소금, 매실액, 후추가루를 넣어 잘 섞어 둡니다.', '믹서에 양파, 마늘, 사과, 배를 약간씩 넣어 곱게 갈아 주세요.', '후라이팬이 열이 오르면 밑간된 소고기를 올려 빠르게 젓가락으로 볶아주세요~', '소고기가 적당히 익으면 믹서에 갈아둔 양념과 고추장을 넣어 잘 섞어 주세요~', '양념들이 끓어 오르면 된장 약간을 넣어 잘 섞어 주세요.', '완성되었어요~ 냉장고에 넣어두고 필요할때 꺼내 드시면 된답니다.']"
 파김치,파김치, 잔파 소 설 식 고춧가 멸치액 통,"['잔파를 곱게 손질해 흐르는 물에 깨끗히 씻어 주세요~', '볼에 잔파를 넣고 고추가루, 멸치액젓, 설탕, 통깨, 식초를 넣어 버부려 주세요.', '적당히 버무려지면 간을 보고 마지막으로 소금간해 주세요.']"
 나박김치 - 명절이나 손님 초대에 좋은 물김치 ,나박물김치, 배추 무 생강 마늘 쪽파 홍고추 미나리 배 양파 김치국물 소금 고추 설탕 멸치,"['양파를 썰어서 물 2컵 붓고 센불에서 끓으면 약불로 줄여서 잠시 양파를 익힌 후 양파 육수로..국물을 이용해보는거요. 전 사과 깍아 먹다가 사과향도 좀 나라고 사과 껍질도 함께 넣었어요.', '야채들을 채 썰어주세요.', '커피 필터에다 고추가루 넣어서 뜨거운 양파육수에 담궈 놓을 겁니다.', '곱게 고춧물이 들었어요. 그 물로 잘 절여진 배추랑 사실 나박김치엔 무도 나박나박 썰어서 넣는데 요즘 무 맛이 별로라서 안 넣었구요.양념들을 넣어서 고춧물에 살짝 버무릴 거에요.버무릴 때 전 멸치 액젓도 한큰술 넣어주면 훨씬 맛있더라구요.', '고춧물에 양념드을 넣고 잘 버무린 배추는 통에 잘 담아서 보관합니다.', '나박김치 완성입니다.']"
얼갈이 배추김치,얼갈이배추김치, 얼갈이 굵은소금(절임용) 밀가루 밀가루 물 고춧가루 까나리액젓 배 마늘 생강편 밀가루풀 설탕 꽃소금,"['먼저 분량의 밀가루와 물을 섞어서 잘 풀어준 후 은근한 불에 바닥에 눌지않게 저어주면서 풀을 쑤어요. 얼갈이 배추를 잘 씻어서 먹기좋은 크기로 썰고 배와 마늘, 생강도 준비해요. 썰어 둔 얼갈이 배추를 소금물에 1시간 정도 절여요. 소금물은 굵은소금 1컵을 배추가 겨우 잠길 정도의 양의 물에 녹인 후 얼갈이 배추를 넣고 절여요.', '배추가 절여질 동안 양념을 만드는데 끓여서 식혀 둔 풀과 배, 생강편, 마늘을 믹서에 넣고 갈아요. 여기에 고춧가루와 까나리액젓, 설탕을 넣고 잘 섞어요. 소금간은 배추가 절여진 정도에 따라서 마지막에 가감해서 넣으세요.', '절여진 얼갈이 배추를 물에 헹궈서 건져두고 물기를 꼭 짜요. 배추맛을 보고 혹시 짜면 한 번 더 헹구세요.', '그리고 만들어 둔 양념과 버무리세요. 이때 맛을 보고 소금간을 더해 주시면 돼요. 다 버무려졌으면 밀폐용기에 담아서 실온에서 하루 정도 익혀서 냉장고에 넣으세요. 식성에 따라 더 익히시든지 그건 각자 알아서 하시면 돼요.']"
총각김치 맛있게 담그는법,총각김치, 총각무 굵은소금 쪽파 대파 마늘 생강 멸치액젓 고춧가루 새우젓 홍고추 설탕 소금  찹쌀  찹쌀가루 물,"['요즘 초록무는 흙이 많이 안붙어서 손이 많이 가지 않더라구요. 초록무를 손질해, 깨끗히 씻어준후, 굵은소금을 뿌려, 절여줍니다. 잎부분보다 무우쪽에 소금을 더 뿌려야 하겠죠. 찹쌀풀은 미리쑤어 식혀줍니다.', '알맞게 절여진 초록무를 흐르는물에 깨끗이씻어 물기를 빼줍니다.', '양념재료를 모두섞어 준비합니다.', '섞어논 양념에 초록무를 넣고 비비지말고 속듯이 살살 양념을 발라줍니다.', '쪽파는 마지막부분에 넣어서 상하지않도록 양념에 비벼 윗부분에 담았어요.']"
생굴 잔파 무 김치,김치,  생 잔 양  마늘 생 까나리액 천일염소 설 고춧가 통,"['무는 3cm정도 길이로 납작하게 썰어 준 다음 소금을 뿌려 약 30~40분간 절여주세요.', '잔파도 무와 같은 길이로 썰어 준비하고 생굴도 소금물에 깨끗히 씻어 물기를 제거해 주세요.', '무가 새하얗게 절여지면 흐르는 물에 소금기를 씻어내고 체에 바쳐 물기를 쏙 빼 주세요.', '믹서기에 마늘, 생강, 양파, 배를 넣은 다음 까나리 액젓을 적당히 부어 곱게 갈아주세요.', '볼에 물기가 제거된 무에 갈아둔 양념과 고추가루, 천일염 소금, 설탕 약간을 넣어 고루고루 섞어 주세요.', '무에 색에 예쁘게 나오면 준비된 잔파와 굴을 넣어 휘휘 저어 주세요.', '마지막으로 통깨를 뿌려 다시 버무려 주세요.']"
쌉싸름한맛이 너무좋아요 고들빼기김치,고들빼기김치, 고들빼기 실파 멸치액젓 소금 고춧가루 새우젓 다진마늘 생강 통깨 찹쌀가루(찹쌀풀),"['고들빼기는 깨끗이 손질해, 소금을 탄물에 2~3일간 담궈 놓아 쓴맛을 빼줍니다. 물병을 위에 올려 눌러놓아요.', '깨끗이 씻어 물기를 쪽 빼줍니다.', '찹쌀가루1작은술, 물1컵으로 찹쌀풀을 미리쑤어 식혀줍니다. 물이 빠지는동안 양념재료를 모두섞어 줍니다.', '쪽파와 고들빼기를 넣고, 양념을 살살 발라가며 버무려 줍니다.']"
총각김치,총각김치, 총각무 쪽파 미나리 갓 굵은소금  찹쌀  찹쌀가루 물 김치전용액젓 새우젓 고춧가루 마늘 생강 양파 설탕,"['총각무는 깨끗이 씻어 4등분으로 썰고 무청도 손가락 길이로 손질한 후 소금을 뿌리고 1시간 정도 절여줍니다.', '찹쌀 풀이 한 김 식으면 위의 재료들을 모두 넣고 고루 섞어 양념을 만들어 줍니다.', '절여진 무에 양념을 넣고 고루 버무려 통에 담으면 완성이에요. 하루 정도 실온에 두었다 냉장고에 넣으면 된답니다.']"
얼렁뚱땅 맛있는 깍두기 만들기,깍두기, 무 쪽파 홍고추 생강 통마늘 굵은 찹쌀풀 고춧가루 새우젓 설탕(뉴슈가) 멸치액젓,"['깨끗하게 씻은 무는 위와같이 적당한 크기로 잘라 소금 한줌을 뿌려놓습니다.', '그리고 홍고추 5, 찹쌀풀 2/3컵, 생강 한쪽, 통마늘 10, 멸치액젓 3, 새우젓 2, 설탕(뉴슈가)조금을 넣고 믹서기에 갈았네요.', '아까 소금을 뿌려두었던 깍두기는 1시간정도 지나면 한번 물에 헹궈 체에 받쳐놓습니다.', '일단 무 넣고 대파썰은거 넣고 고춧가루 1/2컵을 넣고 버무려 놓습니다. 그럼 무가 빨갛게 색이 더 예쁘게 물드는거 같더라구요.', '그리고 아까 믹서기에 갈아놓은 분량의 양념장을 넣어 골고루 잘 섞어주세요.', '그리고 김치통에 넣어 보관하면 완성~!!']"
