Menu,Ingredient,Recipe
시금치 프리타타 간단한 주말 아침식사,"['시금치50g', '방울토마토10개', '올리브오일1T', '계란3개', '허브소금', '조금남은버섯50g']","['재료는 원하는 재료 냉장고에 있는 재료 사용시금치가 아주 연해서 씻어 건져 물기를 빼줍니다', '방울토마토는 없으면 생략해도 됩니다저는 방울토마토가 시간이 조금 지났기에 넉넉히 넣었어요!~!~', '계란은 깨트려서 잘 풀어줍니다', '계란은 풀어놓고 방울토마토는 반으로 잘라줍니다버섯들도 잘게 썰어줍니다', '올리브유에 시금치를 볶아서 다른 그릇에 옮겨놓고 남은 버섯들도 볶아주었어요~!~', '작은 팬에 시금치 볶은 것을 올리고 볶아놓은 버섯도 올려줍니다', '풀어놓은 계란을 부어줍니다방울토마토도 넉넉히 올려줍니다', '뚜껑을 덮고 약한 불에서 부쳐줍니다', '제일 약한 불로 뚜껑을 덮고 은근하게 부쳐줍니다', '불이 세면 바닥이 모두 탈수가 있어서 아주 약한 불로 부쳐줍니다']"
풋고추 햄 치즈 파이/ 에어프라이어 요리,"['풋고추7개', '양파1/2개', '당근조금', '스팸1/2개', '피자치즈70g', '버터50g', '소금', '후추', '우유1/4컵', '박력밀가루1컵', '계란노른자3개']","['재료 준비하고', '양파, 당근 채 썰고', '풋고추 7개 반 가른 후 씨 제거 후 채 썬다', '스팸 1/2개 작은 크기로 자르기', '버터 50g 준비', '달군 팬에 식용유 약간 넣고 양파 볶고 (소금, 후추) 간하고, 풋고추도 볶아 수분을 날린다 재료가 나른해지도록 볶은 후 소금약간, 후추가루로 간한다', '햄 노릇하게 볶다가 당근도 함께 넣고 볶고 마지막에 후춧가루 넣고 끝~', '볼에 볶은 재료 넣고', '피자치즈 70g, 계란 노른자 1개 넣어 섞는다', '파이 반죽 : 박력밀가루 체에 내리고', '버터 50g, 넣고 으깨면서 섞고', '골고루 섞어 여러번 치댄다', '반죽은 길이로 만든 후 8등분으로 나눈다', '직사각으로 밀대로 밀어 얇게 만든다', '반죽에 재료 듬뿍 올리고속 재료는 많이 넣을수록 좋아요', '다른 반죽으로 덮는다', '가장자리를 눌러 붙이고 포크로 눌러 모양을 만든다', '노른자 2개 준비', '에어프라이어에 파이 올린 후 노른자를 골고루 바른다에어프라이어 200도에서 8분 굽고 뒤집고 3~4분간 굽는다에어프라이어계란 노른자를 많이 바를수록 색이 짙어집니다', '통통한 풋고추 파이 겉은 크래커 느낌 속은 촉촉하니 풍미가 입안 한가득한 풋고추 햄 치즈 파이 완성~']"
청양고추 표고버섯전 만드는 법 동그랑땡 만들기,"['건표고버섯300g', '청양고추4개', '부침가루30g', '밀가루30g', '소금1/2t', '계란3개', '식용류3T', '설탕1t']","['오늘은 명절에 선물로 들어온 표고버섯을 이용해서청양고추 송송 썰어서 넣고청양고추 표고버섯전 만드는 법을 해보려구요.고추가 들어간 것과 그렇지 않은 것은 맛에서 차이가 나요.', '우선 저는 건표고버섯을 선물 받아서 물에 20분 정도 불렸어요. 그리고 줄기 딱딱한 부분을 제거하고 잘게 썰어 주세여.', '식감 좋으려면 약간 크게 썰으셔도 되세요.그리고 청양고추도송송 썰어서 넣어 주세여.고추를 넣어야 맛이 더욱 배가 된답니다.', '부침가루30g.밀가루30g.소금1/2t.계란3개.식용류3T.설탕1t.을 넣어 주세요.그리고 물 약간으로 부침물을 만들어 주세요.', '그럼 요런 모습이 되지요.이제 거의 다 된거랍니다.노릇노릇 부치기만 하면 되니까요.', '그리고 수저로 떠서 후라이팬에 노릇하게 부쳐 주세요.한입크기로 부쳐서 간장에 콕 찍어서 먹음 되지요.', '그럼 맛있는 청양고추 표고버섯 전완성이네요.고추의 매콤함과 표고버섯 향이 조화를 이루는 맛있는 건강 간식 완성이네요,']"
#[풋고추] 콩나물떡볶이,"['콩나물1줌', '떡10개', '어묵3장', '대파1뿌리', '양파1/2개', '깻잎5장', '표고버섯(or2꼭지)3꼭지', '풋고추1~2개', '청양고추1~2개', '차돌박이적당히', '올리고당2큰술', '통깨적당히', '고추장1큰술', '고춧가루1스푼', '설탕1스푼', '다진마늘1/2스푼', '간장1큰술']","['콩나물을 깨끗히 씻어 수북히 담아주세요.', '물 종이컵 1.5잔을 붓고 어묵, 쌀떡을 넣어주세요.', '양파 반개, 표고버섯 또는 새송이 버섯을 넣어주세요.', '양념장을 만들어 주세요.', '양념장을 넣고 살살 풀어주세요.재료를 한쪽으로 몰고 양념장을 물에서 살살 저어주면 금방 잘 풀어짐! ', '어느정도 자박자박 해지면 대파랑 풋고추 기호에따라 청양고추를 넣어주세요.차돌박이를 몇 점 넣어 주면 더 최고!', '가스불 끄기 직전 올리고당을 빙빙 둘러주고 깻잎, 통깨를 뿌려주세요.', '매콤달달 씹는 맛까지 일품인 콩나물떡볶이 완성!']"
풋고추레시피 / 고추소시지,"['돼지고기다짐육320g', '풋고추4개', '다진마늘1큰술', '다진대파1큰술', '다진생강1/2작은술', '소금1/2큰술', '설탕1/2작은술', '녹말가루2큰술', '후추약간']","['\ufeff준비재료 간단해요~풋고추 외에 마늘, 생강, 대파 등 기본적인 향채소만 준비합니다.\ufeff', '\ufeff풋고추는 씨를 제거하고 잘게 다져줍니다.', '\ufeff볼에 돼지고기 다짐육 담고 풋고추 외에 나머지 밑간재료 모두 넣어줍니다.', '\ufeff찰기가 생길때까지 여러번 치대줍니다.', '\ufeff도마 위에 랩을 깔고 고기 일부를 떼내어 랩으로 감싸며 단단하게 돌돌 말아줍니다.\ufeff', '\ufeff랩의 끝을 잡고 도마 위에서 굴려주며 조금 더 단단하게 랩을 조여줍니다.', '\ufeff끓는 찜기에 올려 15분정도 쪄줍니다.', '\ufeff쪄진 소시지는 랩을 벗겨 팬 위에서 노릇하게 한 번 더 구워줍니다.\ufeff']"
집에서 맛있는 떡갈비 만드는법,"['간고기500g', '간장2t', '설탕2t', '참기름1t', '간마늘1t', '후추1/2t', '양파1개']","['변변한 반찬이 없다 싶으시면 밥 2공기는 뚝딱 먹을 수 있는 떡갈비 황금레시피 어떠세요?', '다짐육에 설탕도 위에 적힌대로 넣어 주세요.', '참기름도 넣어 주시구요', '후추와 간마늘도 넣어 주세요.', '그리고 간장도 넣어 주세요.고기양이 많으시면 간장을 더 넣으심 되세요.혹시 난 고기로만 하면 잘 뒤집을 자신이 없다 싶으시면 밀가루 약간 넣으심 잘 안부서지네요.', '그리고 양파를 잘게 채를 썰어서 함께 넣고 고기와 섞어 많이 치대주세요,.그리고 모양을 원하시는 대로 만들어 주세요.', '기름 두른 후라이팬을 예열을 해주시구요 떡갈비 만든 것을 올려주세요,.처음 아랫부분을 약간 오래 익혀 주세요.그래야 뒤집어도 잘 부서지지 않아요.', '그럼 리얼 밥도둑 수제 떡갈비 만들기 완성입니다.밥 2공기는 거뜬하지용']"
양배추전♡,"['양배추1/4개', '적양배추1/4개', '파프리카1/2개', '계란3알', '부침가루1컵', '튀김가루1/2컵', '물조금', '소금조금', '마요네즈조금', '스테이크소스조금']","['적양배추 4/1개, 양배추 4/1개, 파프리카 반개는 잘게 채쳐서 준비합니다~!!적양배추 4/1개, 양배추 4/1개, 파프리카 반개.', '볼에 적양배추 4/1개 채친 것 넣어주고,적양배추 4/1개.', '양배추 4/1개 채쳐서 넣어주고,양배추 4/1개.', '파프리카 반개 채쳐서 넣어줍니다~!!파프리카 반개.', '계란 3알을 넣어주고,계란 3알. ', '부침가루 한 컵 넣어주고,부침가루 한컵.', '튀김가루 반컵 넣어주고,튀김가루 반컵.', '물 조금 넣어서 농도 맞춰주세요~!!물 조금.', '간을 위해 맛소금 살짝 넣어줬어요~!!맛소금 조금. ', '잘 버무러주면 됩니다~!!부침가루 양을 많이 안 넣고 야채들 식감을 더 살릴려고 했습니다~!!ㅎㅎ', '식용유 두룬 후라이펜에 얇게 펴주고,', '노릇노릇하게 부쳐주면 완성입니다~!!', '양배추전 완성입니다~!!', '마요네즈 조금을 발라주고,마요네즈 조금. ', '스테이크소스 뿌려주면 오코노미야끼 맛이 나는 양배추전 완성됩니다~!!스테이크 소스 조금. ']"
에어프라이어 군만두 간식으로 딱이야,"['비비고만두7개', '올리브오일']","['왕교자 만두 7개입니다', '에어프라이어에 냉동만두를 조리하기 전에 만두에 올리브 오일을 살짝 발라주세요솔을 이용해 만두 전체에 발라주면 코팅도 되고 잘 타지 않아 좋은 거 같아요 솔로 올리브오일 바르는 것도 귀찮을 때는 비닐팩에 올리브오일을 넣고 군만두를 넣어 조물조물해주시면 편리하게 할 수 있어요전체적으로 바른 만두는 그릴 위에 만두를 올리고 돌려주기만 하면 됩니다', '에어프라이어 180도에 15분 조리했어요 에어프라이어 군만두 시간은 제품마다 다른거 같아 시간이 딱히 정해지진 않는거 같아요 에어프라이어는 열 전도가 위쪽에 있다보니 뒤집어줘야 하는 불편함이 있어요 만두 180도에 15분 조리하고 난뒤에 보니 살짝 덜익은 느낌이 들더라구요 속은 말랑말랑한게 잘 익었지만 겉에있는 만두피가 조금 하얗게 보이더라구요 그냥 먹을까 생각하다 180도에 3분정도 다시 돌려줬어요 이번에는 만두를 살짝 눕혀서 돌려줬어요에어프라이어']"
초간단 불닭 퀘사디아! - 10분 레시피!,"['또띠아2장', '허브닭가슴살1개', '양파1/2개', '파프리카1개', '캔옥수수10g', '모짜렐라치즈80g', '불닭소스']","['파프리카, 양파를 채썰어 주세요.', '허브 닭가슴살을 전자레인지에 따뜻하게 데워 주신 후 적당한 크기로 썰어주세요.전자레인지', '팬을 달군 후 또띠아를 구워주세요.', '또띠아에 모짜렐라치즈 절반, 닭가슴살, 캔옥수수, 양파, 파프리카, 나머지 모짜렐라 순으로 올려주세요.', '기호에 맞게 소스를 뿌려 주신 후 반으로 접어 노릇하게 치즈가 녹아내릴때까지 구워주세요.', '-', '또띠아를 잘라 맛있게 드세요.']"
요리도 역시 한국 스타일! 다양한 퓨전요리모음 ★,"['미니족발', '청양고추', '마늘', '3층치즈', '양념장']","['이효리가 즐겼던 고사리대신 고구마순으로??!!고구마줄기파스타', '순대를 그라탕으로~! 넘나 간단한거~!순대그라탕', '강호동이 만든 한국의 대표 불고기를 넣은 파스타!!강불파', '마라소스에 떡볶이를 넣을 생각을??!!!!마라떡볶이', '만두를 넣은 짜장라면!!! 만두는 중국거였나???만두소짜장라면', '한국카레에 코코넛밀크를 듬뿍!!! 음~ 부드러워~!코코넛치킨카레', '누룽지로 만든 리조또! 색다른걸??!누룽지리조또', '쫄깃한 중국당면으로 만드는 크림 파스타???중국당면투움파', '수제비를 넣었더니 어른들도 좋아하는걸??로제크림수제비', '김치와 피자와 탕수육??? 궁금하면 클릭!김피탕']"
치즈 불족,"['토마토완숙1개', '당근40g', '가지40g', '꿀고구마작은것1개', '노란파프리카1/4개10g', '애호박1/4개40g', '토마토케첩7T', '굴소스1.5T', '간마늘0.5T', '물200mL', '버터', '파마산치즈', '칵테일새우5마리', '미향0.5T']","['미니족발과 각종 채소 양념장을 준비해주세요.', '각종 야채들을 넣고 센불에 볶아주세요.', '그릇에 담고 치즈를 길게 썰어 오븐이나 전자레인지에 살짝 돌려주세요.오븐,전자레인지', '저녁 야식 최강조합 치즈 불족 탄생!']"
"토마토 스튜 만들기, 에어프라이어 요리, 에어프라이어 레시피","['감자8개', '3층치즈4장', '청양고추2개', '오이고추2개', '전분가루1스푼']","['1. 고구마는 엄지손톱 크기로 다른 야채에 비해서 작게 잘라주세요. 그리고 쉽게 갈변하니, 물에 담가 넣고 다른 재료들을 손질 후 함께 넣어줍니다', '2. 가지, 애호박, 노란 파프리카, 당근을 깍둑썰기해줍니다.', '3. 토마토케첩 7T, 간 마늘 0.5T, 물 200mL. 버터 10g, 월계수잎 굴 소스 1.5T을 넣고, 물과 잘 섞어주세요. 그릇째 에어프라이어에 담고 180도에서 25분 조리합니다.에어프라이어', '4. 조리가 끝나면, 파마산 치즈를 뿌려줍니다.한 끼 식사로도 손색없고, 다이어트식으로도 할 때는 고구마 또한 다이어트 식이지만, 다른 야채들 중심으로 고구마를 조금 더 줄여주면 좋을 것 같습니다.다된다에어프라이어최강레시피와, 에어프라이어황금레시피143에는 카레를 수록하였습니다.']"
매콤치즈 감자전,"['김밥김', '샌드위치햄적당량', '3층치즈적당량']","['오이고추와 청양고추를 잘게 썰어주세요.', '감자를 갈아주세요.', '볼에 포를 받치고 감자 수분을 쭉 빼주세요.', '수분을 뺀 감자에 잘게 다진 고추와 전분물을 넣고 섞어주세요. (2번 반복)', '팬에 올리브유를 두른 후 감자를 넓게 펼쳐 먼저 한 장을 구워주세요.', '같은 방법으로 한장 더 구워주세요. 그리고 그 위에 치즈를 올려주세요.', '그 위에 이전에 구웠던 감자전 한 장을 덮어주세요.', '이쁜 그릇에 먹기 좋게 담으면 매콤치즈 감자전 완성!']"
