Menu,Ingredient,Recipe
[식약처] 멜론스프,"['멜론110g', '오렌지30g', '레몬5g', '탄산수30g', '레몬껍질2g', '전분3g', '설탕5g', '멜론', '자두', '생크림', '민트']","['메론은 적당한 크기로 잘라 믹서에 간다.', '오렌지와 레몬은 과육만 잘라내 믹서에 각각 갈아 주스형태로 만든다.', '2에 탄산수, 오렌지껍질, 레몬껍질을 넣어 향이 우러나도록 끓인다.', '3에 전분을 넣어 농도를 맞춘 뒤 덩어리지지 않게 체에 걸러 차갑게 식힌다.', '1에 4를 넣고 잘 섞은 뒤 설탕으로 맛을 낸다.', '생크림을 휘핑해 올리고 자두, 메론, 민트로 장식한다.']"
채소 수프,"['감자160g', '호박40g', '브로콜리40g', '샐러리20g', '당근20g', '양배추40g', '양파20g', '치킨스톡(고체형)2개', '물4컵', '토마토파스타소스240g', '올리브유1큰술', '다진마늘1작은술', '소금약간', '후추약간', '통조림완두콩12g']","['감자와 호박, 샐러리, 당근, 양배추, 양파는 1*1cm 크기로 썬다. 브로콜리는 먹기 좋게 썰고 통조림 완두콩은 체에 밭쳐 물기를 제거한다.', '냄비에 올리브유를 두르고 다진 마늘을 넣어 향을 낸 뒤 감자와 호박, 브로콜리, 샐러리, 당근, 양배추, 양파, 완두콩을 넣고 볶는다.', '양파가 투명해지기 시작하면 물과 치킨스톡, 월계수잎을 넣고 중간 불로 10분 정도 끓인다.', '채소가 푹 익으면 토마토 소스를 넣고 끓인다. 소금과 후추로 간을 맞춰 마무리한다.']"
펀스토랑 어남선생 당근스프,"['당근3개', '양파2개', '버터40g', '소금1작은술', '물50g', '밥1/2공기', '생크림1/2컵', '소금2꼬집', '후추약간']","['당근은 딱딱해서 칼질이 어려우신 분들이 많으시죠? 당근은 채칼을 이용하면 편한데요. 고운 채를 치면 더 빨리 익어서 좋아요. 당근과 양파의 비율은 3:2입니다. ', '주방가위로 잘게 잘라주세요. ', '양파도 채썰어요. ', '양파도 주방가위로 대충 잘라주면 더 빨리 익힐 수가 있지요.', '팬을 달군 다음 버터 40g을 먼저 녹여주세요. 양파를 먼저 숨이 죽을 정도로 볶아주세요. 매운 냄새가 없어지고 단내가 올라올 때까지 볶아요. 여기에 당근을 넣어요.', '당근이 어느 정도 볶아지면 소금 1작은술을 넣어요.', '물 500ml를 넣고 퍼질때까지 강불로 끓이다가 바글바글 끓으면 뚜껑 닫고 중불로 10분간 끓여요.', '당근스프의 비법 재료는 바로 밥입니다. 쌀의 전분기로 스프의 질감을 내주는 것인데요. 밥은 반 공기만 넣어요. 흰밥이 좋은데, 저는 수수밥이라서 약간 거뭇거뭇해요. 밥을 잘 풀어주세요.', '핸드믹서기로 갈아주는데요. 사방으로 튀어서 깊은 볼에 따로 담아서 갈아주었어요.', '잘 갈아진 당근스프에 생크림 반컵을 넣어주세요. 우유를 넣으면 달아질 수 있으니 생크림을 추천해요. 잘 섞어주세요.', '요리 마지막에 후추를 뿌려주면 좋아요. ', '생크림을 살짝 뿌려주면 고급진 비쥬얼이 나와요. 파슬리가루도 뿌려주세요.']"
완두콩 수프 건강한 한그릇,"['감자1개', '양파1/2개', '우유400ml', '완두콩1컵', '소금0.3큰술', '후춧가루약간', '파르메산치즈가루1큰술']","['재료: 감자1개,양파1/2개,우유400ml,완두콩1컵양념:소금0.3큰술,후춧가루약간선택재료:파르메산치즈가루1큰술', '완두콩1컵 ,우유400m가필요합니다.완두콩으로 콩국수도 만들어볼까합니다.먹어본적이 없어 맛이 궁금합니다.완두콩 구하기가 참어렵네요.', '감자와 양파는 한입크기로 썰어줍니다.', '중불에 올이브유 1큰술 두르고 감자,양파 양념 소금,후춧가루약간을 넣어 3분정도 볶아주세요.', '감자와 양파가 볶아지면 우유300ml, 완두콩을 넣어 3분정도 끓여줍니다.한 김 식혀주세요.', '한 김 식힌 다음 믹서에 곱게 갈아줍니다.', '중약불로 달군팬에 곱게 간 수프와 우유 100ml 넣어 3분정도 끓여줍니다.', '그릇에 담아 줍니다.파르메산치즈가루있으면 뿌려주세요.없으면 생략해도됩니다.', '완두콩 수프완성']"
초간단 토마토 양파 스프,"['토마토약2개', '양파1/2개', '다진마늘1/2T', '허브가루약간', '올리브오일적당량', '소금약간', '후추약간', '치킨스톡작은거1개', '물400ml']","['- 먼저 재료를 준비합니다.(일반 토마토는 2개, 저는 미니토마토로 6개 사용했습니다.)', '- 토마토는 알맞게 자르고, 양파는 편으로 썰어 준비합니다.', '- 팬에 올리브오일을 두르고 다진마늘 양파를 넣고 양파가 투명해지도록 볶아주세요.', '- 양파가 투명하게 되면 자른 토마토를 넣고 살짝 볶아줍니다.', '- 물과 치킨스톡을 넣어 끓여줍니다.', '- 보글보글 끓으면 중,약불로 조절한 후 약 12분정도 끓여줍니다.- 마무리로 소금, 후추를 약간 가미하여 간을 맞추어요.-그릇에 담은 후 올리브 오일을 약간 뿌려서 드세요.']"
야식으로도 좋은 게살스프 간단한재료로 근사하게~*,"['크래미4개', '치킨스톡(없을경우요리팁참고)1개', '계란1개', '전분가루2스푼', '버섯1줌', '후추취향껏']","['냄비에 물 600ml와 치킨스톡 한개를 넣고 센불에서 팔팔 끓여 육수를 만들어주세요.치킨스톡이 없을경우 요리팁을 참고하세요.', '육수가 끓는동안 전분가루 2스푼과 미온수 4스푼을 섞어놓고 계란도 잘 풀어주세요.', '그리고 크래미와 버섯은 결을 따라 적당한 두께로 찢어주세요.버섯은 표고버섯이나 팽이버섯을 추가해주셔도 좋아요.', '육수가 팔팔 끓으면 찢어놓은 크래미와 버섯을 넣고 5분정도 더 끓여주세요.크래미와 버섯이 푹 익어야 식감이 부드러워요.', '그리고 풀어놓은 계란을 큰동그라미를 그리며 넣어주시고 젓지 않은상태에서 약불로 30초만 더 끓여주세요.풀어놓은 계란을 큰 동그라미를 그리며 넣는걸 줄알치기라고 해요.', '계란이 몽글몽글하게 익으면 전분물을 넣어주시고 후추를 솔솔 뿌려주신후 약불로 30초만 더 끓여주시면 완성~!']"
든든한 아침식사 감자 브로콜리 스프 (With 크루통),"['데친브로콜리200g', '감자1개', '양파1/2개', '우유400ml', '버터1T', '슬라이스치즈2장', '소금약간', '후추약간']","['브로콜리는 끓는 물에 소금을 약간 넣고 살짝 데친 다음 먹기 좋게 썰어 냉동실에 보관하는게 브로콜리 보관 방법이에요.', '감자는 깨끗이 씻은 후 껍질을 벗긴 후 채 썰어 주세요. ', '양파도 깨끗이 씻은 후 채 썰어 주세요. ', '달군 후라이팬에 버터를 두른 뒤채 썬 감자와 양파를 어느 정도 익을 때까지 볶아주세요.', '믹서기에 브로콜리와 감자, 양파를 넣고 갈아주세요.잘 안 갈아지면 우유를 조금 넣고 갈아주세요.', '곱게 갈린 브로콜리와 감자, 양파를 냄비에 옮긴 뒤', '중약불에서 우유를 붓고 잘 섞어 준 후', '슬라이스 치즈를 넣고 약 20분간 저어가며 끓여주세요.소금과 후추로 부족한 간을 맞춰주면 감자 브로콜리 스프 완성이에요.']"
꼬마 새송이버섯 스프. 코코넛 젤리를 씹는 느낌?미니 새송이버섯,"['꼬마새송이15개', '양파1/2개', '우유500ml', '버터2큰술', '밀가루2큰술', '소금1t', '후춧가루약간']","['꼬마 새송이는 크기가 그래도 좀 큰 것들만 준비했어요. 손가락 두개 정도의 크기.. 15개.', '버섯과 양파반개는 아주 잘게 다져주세요. 부드러운 스프를 원하신다면 믹서에 갈아주시든 것도 좋을 거 같아요.', '버터 두큰술을 약불에서 녹여줍니다. 버터가 반쯤 녹았을때 밀가루 두큰술을 넣고 밀가루 루를 만들어 줍니다.', '많이 충분히 볶아줘야 밀가루 냄새가 나지 않아요. 약불에서 5분정도 볶은 거 같아요.', '여기에 준비된 버섯과 양파를 넣고 같이 볶아줍니다. 금방 숨이 죽고 버섯과 양파에서 수분이 나옵니다. 5분정도 볶아주었어요.', '우유 500ml를 넣고 끓여 줄거에요. 약불에서 저어주며 오래 끓여주세요.', '끓이다 보면 이정도면 되겠다 싶을때가 있을거에요. 20분 이상 끓여주었어요.수분이 날아가며 걸죽해 지는 느낌이 있어요. 소금과 후춧가루로 간을 해 주세요.']"
고급진 맛의 사과스프,"['사과1개', '양파2/3개', '우유1컵', '생크림1컵', '계피가루1티스푼', '파슬리약간', '소금1티스푼']","['사과와 양파를 준비하세요. 사과와 양파는 우선 깨끗이 씻어 주시구요.', '최대한 얇게 썰어주세요. 얇을수록 좋답니다.', '종이컵 기준으로 우유 1컵과 생크림 1컵을 준비하세요. ', '버터 1조각도 준비하시구요. ', '냄비에 버터 한 조각을 녹인 다음 채썬 양파를 먼저 볶아줍니다. 스프가 맛있으려면 양파를 오래 볶아주는 것이 포인트입니다. 양파가 노릇하면서 형체가 없어질 정도로 흐물거리면 이 때 얇게 썬 사과를 넣어 같이 볶아줍니다. 사과도 볶다보면 익으면서 작게 깨집니다.', '우유와 생크림을 1컵씩 동량으로 넣어준 뒤에 약불로 줄여서 끓여줍니다. 한 5분 정도 끓여주다가 도깨비 방망이로 곱게 갈아줍니다. 도깨비 방망이가 없으신 분들은 일반 믹서에 갈아주는데, 너무 뜨거운 것을 돌리면 안 되니까 한김 식혔다가 갈아주세요.', '입자가 하나도 없이 곱게 갈렸답니다.', '여기에 계피가루를 한 티스푼 넣어줍니다. 계피가루가 덩어리가 생기므로 다시 한번 도깨비 방망이로 잘 갈아준 다음 소금 1티스푼을 넣어 완성합니다. 통계피 조각을 넣어 5분 정도 끓여주다가 꺼내주어도 되구요. 전 통계피가 없어서 계피 가루를 넣어주었습니다. ', '사과 스프 만들기 어렵지 않지요?', '사과 스프가 완성되었습니다. 파슬리 가루를 뿌려 주니까 색감이 대비가 되어서 더욱 예쁘네요. 이 사과스프의 맛의 포인트는 계피가루와 생크림입니다. 계피양은 취향 따라 더 넣어주셔도 되구요. 원래 사과와 계피는 궁합이 잘 맞구요. 우유만 넣어 만드는 것보다 생크림을 같이 넣어주는 것이 훨씬 진하고 부드러운 풍미가 가득하답니다. 드셔보시면 고급 레스토랑에서 먹는 스프 맛이 난답니다. 사과 스프라고 절대 이상한 맛이 아니라니까요. 한번 만들어 보세요.']"
"이나영,원빈의 다이어트식단 떠먹는 스테이크 토마토 양파 스테이크 (토마토스튜)","['토마토5개', '양파5개', '소고기등심400g']","['고단백 저지방식이라고 이나영 씨가 3년째 먹고 있다는 이나영,원빈의 다이어트식단 떠먹는스테이크 토마토 양파 스테이크 만드는 방법도 어렵진 않아요.단 조리시간은 좀 걸려요~ 인내심을 가지시길!', '불량엄마는 딱 두 배 준비했어요.다이어트 기간 내내 먹기도 할 거지만~왠지 소자매가 함께 먹을 것 같단 예지력 ㅋㅋㅋ', '토마토 껍질까기 어렵지 않아요 토마토는 씻어 열십자를 내어주세요.', '끓는 물에 살짝 데치듯 넣었다 빼시면 돼요.', '건져내서 껍질 벗겨 준비~!', '껍질 벗긴 토마토는 잘게 썰어주었어요.', '양파는 채 썰어 준비해주세요~!', '냄비안에 양파를 깔아주고', '소고기 손질을 합니다.등심은 힘줄과 지방을 제거해주세요.', '달궈진 팬에 센불에 육즙이 가둬지도록 앞뒤로 구워냅니다.', '오래 구울 필요 없어요.고기 잡내 날리고, 겉면만 익혀주면 돼요.그리고 잘게 썰어 준비했어요.', '양파', '토마토', '소고기 순으로 층층이 올려주고 중간 불로 은근히 조려주세요.', '벌써 먹음직스럽죠~^^', '불량엄마는 양을 2배로 늘려만들어 냄비 2개로 양쪽에서 끓였어요.이때 물은 넣지 않는 게 포인트양파와 토마토에서 충분히 수분이 나와서 토마토 스튜가 된답니다.물은 넣지 않는 게 포인트', '20분쯤 끓이니 물이 생기기 시작해요.이때 바닥에 눌어붙지 않게 잘 저어주셔야 해요.이왕이면 조리는 음식이라 바닥면이 두터운 냄비 추천드려요.', '불량엄마는 중간 불로 40분 정도 끓여주었어요.씹는 식감을 좋아하시면 20분~30분 정도만 끓이셔도 좋은 것 같아요.', '푹~끓여만든 #이나영원빈의다이어트식단 떠먹는스테이크 #토마토양파스테이크 (토마토스튜)보기에도 그럴싸하죠~^^']"
"감자스프, 맛있어서 감자감자","['버터2숟가락', '양파1/2개', '감자2개', '우유2종이컵', '소금1/4숟가락', '후추약간', '버터1숟가락', '자투리식빵1줌']","['팬에 버터를 녹이고 채 썬 양파를 넣어 노릇하게 볶아요.', '삶은 감자와 양파, 우유를 믹서에 갈아요.', '믹서에 간 것을 냄비에 넣고 중약불로 저어가며 끓여요.기호에 맞게 소금으로 간을 해요.', '스프가 걸쭉해지면 그릇에 담아 후추, 구운 빵을 곁들여요.식빵을 주사위 모양으로 잘라 버터에 노릇하게 구워요.']"
가을을 품은 ~밤스프!,"['껍질벗긴밤440g', '양파1/2개', '우유4+1/2컵', '소금약간']","['밤스프를 하기위해서 우선 냄비에 껍질 벗긴 밤과 밤이 잠길 만큼의 물을 부어 밤을 삶아줍니다 밤을 너무 오래 삶으면 밤이 부서지기 때문에부글부글 ~~ 끓어 올라 10분정도 더 삶으면 적당하답니다', '삶은 밤은 채반에 받쳐 물기를 제거해줍니다', '팬에 버터를 넣어 녹인 다음 채설어 놓은 양파를 넣어 투명하게 볶아 불에서 내려주고 나서', '물기 제거하는 사이에 데코용으로 사용할 밤도 으게어주고 허브도 한줄기 따왔어요 ㅋ', '믹서기에 물기 제거한 밤과 양파 그리고 우유 3컵을 부어', '윙 ~~~~~~ 갈아줍니다 밤은 삶으면 타박이기 때문에 우유가 조금 많이 들어갑니다 ', '냄비에 갈아놓은 밤과 우유 1과1/2컵을 더부은 다음 저어주면서 끓이다가 보글보글 ~~~ 끓어 오르면 소금으로 간만 맞춰줍니다그럼 밤스프 완성이에요 ~~', '밤 스프를 먹을 만큼만 그릇에 담고 나름 데코로 마무리를 한 밤스프 ~~~', '가을 내음이 듬뿍 담긴 한그릇 이네요 ㅎ']"
주키니 가스파초~ 시원깔끔한 맛,"['주키니호박1개', '바질페스토1T', '올리브오일1.5T', '소금1/3t', '간통후추1/4t', '생바질잎12g', '물280ml', '바게트빵', '펜네']","['주키니를 1/2등분 해준 다음, 부채꼴 마양으로 얇게 썰어주세요.', '냄비에 주키니, 물 280ml를 넣고 뚜껑을 덮어 중불에서 끓여주다가, 끓어오르면 약불에서 25분 삶아주세요.다 삶아진 다음 식혀주면 된답니다~', '바질은 줄기를 떼어내 버려주고~', '믹서기에 모든 재료를 다 넣고 곱게 갈아주면 끝.', '시원하게 수프처럼 먹어도 맛있고, 빵에 찍어 먹거나(하몽도 같이 곁들고)~ 파스타 면을 버무려도 맛나답니다.']"
고소한 치즈고구마수프 ,"['찐고구마150g', '양파1/4개', '우유1+1/2컵', '버터1/2큰술', '피자치즈3큰술', '소금약간']","['쪄서 먹고 남은 고구마 10개를 껍질 벗겨 그릇에 담고 포크로 곱게 으깨어 주었습니다. 작은 고구마 10개 150g', '냄비에 버터 1/2큰술을 녹여 줍니다.', '그리고 채썬 양파 1/4개를 넣고 볶아 주세요.', '양파가 투명하게 볶아지면 준비한 으깬 고구마를 넣고 고루 볶아 줍니다.', '그리고 여기에 우유 1 + 1/2컵을 부어 줍니다.', '우유를 붓고 한번 고르게 섞어 준 후', '핸드블랜더를 사용해 갈아 줍니다.', '그리고 피자치즈 3큰술을 넣어 줍니다.', '그리고 고르게 저어주면서 한번 바글하니 끓여 준 후 소금 약간으로 간을 해줍니다.']"
[간단 자취요리] 3가지 재료만으로 뚝딱! 크림스프 만들기 / Cream soup,"['우유200ml', '버터3T', '밀가루(추가가능)3T', '소금(조절가능)1/3T', '후추약간']","['재료를 준비합니다.체다치즈, 우유, 버터, 밀가루', '냄비에 버터를 녹여줍니다.중약불', '버터가 다 녹으면 밀가루도 넣어주세요.', '뭉친 것 없이 골고루 저어주고, 밀가루가 충분히 익을 수 있도록 볶아주세요.약불덜 볶으면 스프에서 생 밀가루 냄새나요', '색이 살짝 변했을 때 우유를 넣어줍니다.', '잘 섞일 수 있도록 바닥까지 꼼꼼히 저어줘요.중불', '그리고 준비해둔 치즈 한장 투척!생각보다 금방 뻑뻑해지니까 옆에서 잘 지켜보세요', '원하는 농도보다 살짝 묽을 때 불을 꺼주세요.', '마지막으로 소금 넣고 간 맞추시면 끝!', '후추 톡톡 뿌려서 드시면 됩니다.']"
